Teff	log(g)	T_BB_U	T_BB_B	T_BB_V	T_BB_R	T_BB_I
2400.0	4.0	2322.98909	2245.59161	2023.43398	2133.24744	2336.34755
2400.0	4.5	2161.29562	2158.62388	1988.05143	2150.54739	2359.33844
2400.0	5.0	2024.13625	2107.27918	1970.60830	2123.26580	2333.49041
2400.0	5.5	1957.99220	2098.34984	1945.54622	2124.47402	2345.56861
2500.0	4.0	2474.02963	2378.06337	2125.78277	2228.44789	2459.67700
2500.0	4.5	2327.79006	2320.75829	2117.69141	2228.89125	2462.61644
2500.0	5.0	2170.01624	2226.16525	2065.72753	2221.22922	2465.67130
2500.0	5.5	2072.33780	2240.51655	2087.40013	2218.17263	2462.62505
2600.0	4.0	2597.55008	2501.36266	2242.08117	2333.30783	2581.73320
2600.0	4.5	2451.26531	2405.66165	2189.90329	2347.78822	2602.12076
2600.0	5.0	2314.69268	2347.52901	2170.05581	2321.37451	2588.70029
2600.0	5.5	2184.49544	2288.80986	2143.27554	2305.06600	2581.94590
2700.0	4.0	2712.10894	2622.48860	2356.71626	2434.21548	2698.76079
2700.0	4.5	2651.73934	2625.52798	2401.85710	2476.72881	2753.91397
2700.0	5.0	2468.43510	2521.72021	2338.58325	2432.48695	2711.74914
2700.0	5.5	2329.02709	2414.23203	2267.18600	2451.28309	2742.17594
2800.0	4.0	2822.92491	2746.27205	2477.98771	2539.52227	2817.71026
2800.0	4.5	2707.36474	2667.96473	2450.87140	2568.06136	2840.83633
2800.0	5.0	2630.24731	2678.36498	2499.13485	2565.73067	2851.90009
2800.0	5.5	2467.17728	2547.88088	2396.11797	2531.84033	2837.16032
2900.0	4.0	2910.90167	2848.46524	2578.57364	2629.04613	2918.77107
2900.0	4.5	2833.36265	2823.06087	2604.08652	2651.32709	2939.09753
2900.0	5.0	2708.95687	2733.71794	2551.34153	2650.65531	2949.35517
2900.0	5.5	2587.36080	2670.75116	2521.16650	2642.84962	2955.10841
3000.0	4.0	3007.08693	2963.07553	2686.36656	2723.15114	3028.89817
3000.0	4.5	2942.69141	2942.93899	2720.48245	2750.85010	3047.33275
3000.0	5.0	2829.66035	2860.35747	2673.95135	2757.06461	3064.51195
3000.0	5.5	2698.72383	2787.97750	2634.23774	2743.94232	3065.28427
3100.0	4.0	3091.73607	3097.21506	2827.18731	2841.41126	3143.87827
3100.0	4.5	3051.36124	3101.19123	2882.72207	2889.38013	3171.42504
3100.0	5.0	2978.22679	3074.30074	2885.87356	2892.62512	3173.04268
3100.0	5.5	2891.73806	3047.98269	2894.45850	2905.55257	3183.77628
3200.0	4.0	3164.20970	3195.89429	2940.80707	2943.15685	3246.87699
3200.0	4.5	3137.48178	3204.07523	3004.38691	2999.43444	3272.95444
3200.0	5.0	3078.60209	3183.31661	3014.93566	3009.66234	3275.06122
3200.0	5.5	3010.42869	3169.00572	3037.72922	3036.34951	3292.64806
3300.0	4.0	3232.41884	3294.50494	3062.83050	3053.44709	3349.24936
3300.0	4.5	3216.57826	3303.37014	3118.61582	3104.42397	3371.94850
3300.0	5.0	3173.26193	3293.74308	3143.57987	3129.62930	3382.03040
3300.0	5.5	3113.81091	3277.21676	3164.25323	3154.71505	3390.92073
3400.0	4.0	3295.46984	3392.38453	3188.01098	3168.50878	3450.06122
3400.0	4.5	3292.94901	3406.33906	3244.89703	3223.34022	3474.63274
3400.0	5.0	3259.20969	3392.35625	3263.27014	3243.57953	3475.29526
3400.0	5.5	3219.01094	3391.38070	3298.01985	3282.77576	3497.27137
3500.0	4.0	3354.96556	3490.20709	3314.01803	3285.40278	3548.46653
3500.0	4.5	3362.05916	3500.97703	3363.14945	3336.73359	3568.48038
3500.0	5.0	3343.03242	3495.21623	3386.68678	3363.36395	3575.43887
3500.0	5.5	3309.51932	3491.38145	3414.87956	3396.71078	3591.03280
3600.0	4.0	3414.67475	3592.32163	3445.67854	3409.09944	3647.71940
3600.0	4.5	3431.83490	3602.93492	3492.16139	3462.07966	3668.96762
3600.0	5.0	3425.03927	3603.67146	3516.92526	3491.62785	3682.65764
3600.0	5.5	3401.37265	3594.76916	3537.88477	3519.34418	3688.56861
3700.0	4.0	3478.86921	3698.48865	3580.42207	3537.32965	3747.62944
3700.0	4.5	3499.27884	3705.08231	3619.69773	3587.70402	3768.72613
3700.0	5.0	3505.69068	3710.62086	3649.20201	3624.76107	3786.98741
3700.0	5.5	3493.72411	3704.76937	3668.17741	3651.42497	3794.84357
3800.0	4.0	3549.12467	3814.25709	3724.04268	3676.04945	3853.39405
3800.0	4.5	3565.63461	3805.49450	3744.14889	3711.94455	3864.84946
3800.0	5.0	3577.21236	3805.93586	3766.69224	3745.01330	3879.62610
3800.0	5.5	3570.32721	3797.79754	3776.55895	3762.45275	3885.50754
3900.0	4.0	3622.53667	3932.48206	3878.52535	3831.25934	3957.58382
3900.0	4.5	3638.66918	3913.39553	3872.72751	3840.86610	3965.71769
3900.0	5.0	3650.77642	3905.71532	3885.31386	3866.66674	3976.62597
3900.0	5.5	3652.65471	3895.36828	3891.45098	3882.26338	3979.70385
4000.0	4.0	3711.93889	4056.76413	4026.50913	3980.18759	4066.72984
4000.0	4.5	3715.99385	4028.32346	4004.70545	3973.09103	4070.48318
4000.0	5.0	3730.60957	4015.09496	4014.86214	4001.09097	4080.53416
4000.0	5.5	3750.39651	3999.68596	4013.77777	4012.06461	4079.65917
4100.0	4.0	3820.08619	4154.16860	4134.56050	4143.47813	4187.85840
4100.0	4.5	3811.72759	4125.36403	4105.84164	4126.41259	4191.67131
4100.0	5.0	3815.64210	4093.69979	4092.88320	4129.47905	4188.54570
4100.0	5.5	3817.38051	4074.06921	4080.58380	4126.21437	4188.71615
4200.0	4.0	3932.86353	4280.96311	4278.14794	4292.32439	4299.36846
4200.0	4.5	3910.08069	4249.29874	4246.42971	4271.81997	4299.45457
4200.0	5.0	3905.21976	4214.72821	4222.81481	4262.49366	4298.47125
4200.0	5.5	3904.75277	4187.20414	4202.96377	4252.87329	4295.80054
4300.0	4.0	4052.62884	4404.69435	4412.78484	4428.59587	4405.96308
4300.0	4.5	4026.99989	4380.57711	4389.22127	4417.23018	4411.80889
4300.0	5.0	4008.91460	4346.45682	4361.47148	4402.88914	4414.95151
4300.0	5.5	3999.28889	4306.88685	4329.51677	4382.32817	4406.90253
4400.0	4.0	4179.28263	4530.04674	4543.97394	4556.32503	4515.60676
4400.0	4.5	4150.26007	4511.12946	4525.97030	4552.49114	4523.89744
4400.0	5.0	4116.61115	4474.66220	4494.57027	4535.75847	4526.43713
4400.0	5.5	4097.88386	4430.28096	4458.11614	4512.07393	4518.60328
4500.0	4.0	4309.16854	4656.34026	4672.89181	4677.54117	4626.29999
4500.0	4.5	4277.59863	4638.04781	4655.87167	4676.41627	4633.26574
4500.0	5.0	4241.33204	4608.13019	4631.40087	4669.03870	4639.10737
4500.0	5.5	4211.78330	4570.21305	4600.77711	4653.60373	4642.36139
4600.0	4.0	4438.07797	4780.53917	4798.89563	4793.99212	4736.80886
4600.0	4.5	4403.88092	4762.40804	4781.33413	4793.45039	4742.02128
4600.0	5.0	4366.64829	4740.41724	4764.39024	4795.34460	4753.25625
4600.0	5.5	4325.86327	4701.04941	4732.86008	4781.93178	4755.80736
4700.0	4.0	4566.79193	4902.58534	4922.63667	4907.66087	4846.99660
4700.0	4.5	4534.51639	4887.05621	4907.75249	4910.12983	4853.88065
4700.0	5.0	4494.00676	4867.68294	4891.94187	4913.69176	4863.43673
4700.0	5.5	4449.81578	4834.35305	4866.06568	4908.32828	4870.40900
4800.0	4.0	4692.78236	5020.47723	5042.29125	5017.71976	4955.01074
4800.0	4.5	4664.16943	5009.34627	5031.48351	5023.46176	4964.27487
4800.0	5.0	4622.93385	4992.68187	5017.40167	5028.86760	4973.44939
4800.0	5.5	4578.44187	4971.45368	5002.18728	5035.52872	4987.84334
4900.0	4.0	4823.03414	5141.57480	5164.76927	5130.67243	5066.60166
4900.0	4.5	4790.71085	5127.76432	5150.87102	5132.74810	5071.49240
4900.0	5.0	4751.57043	5114.54184	5140.36706	5141.54950	5083.24324
4900.0	5.5	4700.74179	5091.12260	5122.38964	5146.13565	5093.58471
5000.0	4.0	4947.05886	5256.44015	5282.01556	5239.94309	5175.53576
5000.0	4.5	4918.41794	5246.20953	5271.66709	5244.06152	5181.13040
5000.0	5.0	4878.84293	5233.02335	5260.49423	5251.49946	5191.06168
5000.0	5.5	4829.21169	5211.08527	5243.20389	5255.84462	5200.16536
5100.0	4.0	5071.84832	5371.02762	5397.91622	5348.46142	5284.07737
5100.0	4.5	5044.29863	5361.24531	5388.12297	5351.57041	5287.79454
5100.0	5.0	5007.46665	5350.81874	5379.86139	5360.73806	5298.91295
5100.0	5.5	4954.29348	5332.82788	5364.86126	5366.87720	5306.67891
5200.0	4.0	5196.08361	5486.31926	5512.14771	5455.78246	5391.22899
5200.0	4.5	5170.84651	5477.33160	5504.58881	5459.97812	5395.82110
5200.0	5.0	5136.71786	5468.08281	5498.43722	5469.95681	5407.79177
5200.0	5.5	5086.71801	5453.88152	5488.22048	5480.20411	5419.49357
5300.0	4.0	5321.14637	5603.89578	5627.91074	5565.48565	5500.78088
5300.0	4.5	5297.22369	5593.05461	5619.71315	5567.64225	5503.52336
5300.0	5.0	5262.43872	5582.08277	5613.17773	5576.46716	5514.30205
5300.0	5.5	5214.22788	5569.17837	5604.78821	5587.40747	5526.68690
5400.0	4.0	5443.73757	5720.59666	5741.19719	5672.86483	5607.89492
5400.0	4.5	5421.32993	5708.41479	5733.37752	5674.61668	5610.51062
5400.0	5.0	5391.96217	5699.02124	5729.89882	5685.32754	5623.42175
5400.0	5.5	5343.65975	5684.19076	5720.13143	5693.58756	5633.38930
5500.0	4.0	5562.99239	5837.11041	5853.86278	5780.11108	5714.91765
5500.0	4.5	5545.33784	5824.55888	5846.44450	5781.18761	5716.69025
5500.0	5.0	5522.03672	5818.98746	5848.54857	5796.53071	5734.16915
5500.0	5.5	5469.43281	5796.64025	5832.83474	5798.41738	5738.67255
5600.0	4.0	5676.97245	5953.32416	5966.53323	5887.89034	5821.61159
5600.0	4.5	5663.01225	5938.67794	5958.58330	5888.29049	5823.79256
5600.0	5.0	5638.15703	5924.63659	5953.52578	5896.84625	5836.43967
5600.0	5.5	5594.57252	5910.06430	5946.34634	5904.94291	5845.93742
5700.0	4.0	5791.57476	6072.06315	6080.27965	5996.96332	5930.15462
5700.0	4.5	5781.63449	6055.74205	6071.86153	5996.19280	5931.40926
5700.0	5.0	5759.29782	6038.16570	6064.77895	6002.46719	5942.58900
5700.0	5.5	5697.16924	5993.98385	6031.65560	5987.10432	5933.41219
5800.0	4.0	5902.61246	6191.64836	6194.27736	6105.87713	6037.40698
5800.0	4.5	5891.14313	6163.97790	6175.74499	6096.53525	6033.17352
5800.0	5.0	5876.67064	6151.42456	6175.12148	6107.59032	6047.76155
5800.0	5.5	5844.59274	6137.91852	6171.75194	6117.77397	6060.41082
5900.0	4.0	6010.64069	6312.07866	6308.28020	6214.43162	6143.81675
5900.0	4.5	6009.65132	6284.65711	6293.22811	6210.30527	6146.59828
5900.0	5.0	5993.69460	6265.77071	6285.71231	6213.21853	6153.51975
5900.0	5.5	5971.32567	6256.75051	6287.42408	6227.09956	6169.61941
6000.0	4.0	6117.58704	6433.95661	6420.25593	6319.58631	6244.50987
6000.0	4.5	6118.11546	6397.20447	6399.00187	6311.30628	6246.78559
6000.0	5.0	6107.79912	6377.00311	6391.38575	6313.84099	6254.10021
6000.0	5.5	6085.14651	6362.67292	6389.64723	6324.38824	6267.95924
6100.0	4.0	6225.12437	6559.62593	6538.01823	6431.07498	6352.47558
6100.0	4.5	6227.35917	6514.43755	6508.52596	6415.20350	6349.04193
6100.0	5.0	6225.16613	6494.54525	6504.22812	6422.17297	6362.74985
6100.0	5.5	6204.64419	6475.26932	6497.91353	6427.61576	6372.19524
6200.0	4.0	6324.95860	6683.62830	6653.75787	6540.07624	6456.51385
6200.0	4.5	6334.06827	6635.75000	6623.73746	6525.03206	6456.30783
6200.0	5.0	6337.74557	6610.64777	6614.00195	6526.37301	6465.82725
6200.0	5.5	6316.92754	6582.25278	6599.95185	6525.20189	6471.23075
6300.0	4.0	6420.36243	6807.93914	6769.60232	6648.37217	6558.26115
6300.0	4.5	6437.99965	6755.45270	6735.90598	6631.31873	6559.67658
6300.0	5.0	6444.33273	6726.32124	6723.40663	6630.25522	6567.86644
6300.0	5.5	6429.93930	6695.80120	6707.44627	6627.04028	6572.24345
6400.0	4.0	6514.87216	6933.69111	6887.59327	6758.07771	6661.05247
6400.0	4.5	6537.12000	6878.26514	6851.87845	6740.74213	6664.12056
6400.0	5.0	6548.81183	6843.70722	6835.08831	6736.29591	6671.05769
6400.0	5.5	6539.47440	6808.46774	6814.75989	6728.73654	6672.85007
6500.0	4.0	6604.87191	7062.04405	7007.34496	6869.08337	6763.23961
6500.0	4.5	6637.44976	6999.98551	6965.20717	6847.00403	6766.60464
6500.0	5.0	6652.32367	6961.51636	6946.25536	6841.30419	6773.31311
6500.0	5.5	6649.45740	6924.34543	6925.33059	6833.59872	6776.23241
6600.0	4.0	6697.16441	7192.23351	7128.64796	6980.55875	6865.48277
6600.0	4.5	6731.10158	7122.70805	7080.98477	6955.36781	6868.80937
6600.0	5.0	6753.77131	7080.22952	7058.98468	6947.49457	6875.90760
6600.0	5.5	6754.87795	7038.52696	7034.14408	6936.60138	6877.45372
6700.0	4.0	6781.44670	7318.22715	7249.55098	7090.99908	6964.52930
6700.0	4.5	6820.03997	7247.02735	7197.79338	7062.44359	6966.91739
6700.0	5.0	6850.14813	7198.26025	7172.34428	7054.35497	6978.31046
6700.0	5.5	6857.66322	7153.06860	7144.07197	7040.50796	6978.86580
6800.0	4.0	6865.80294	7449.44960	7374.26271	7204.53046	7065.70832
6800.0	4.5	6908.03393	7374.52375	7319.27448	7173.72052	7068.28051
6800.0	5.0	6945.67389	7319.70290	7288.54255	7162.91777	7081.13374
6800.0	5.5	6956.16029	7267.31961	7254.39407	7144.57449	7079.33165
6900.0	4.0	6953.29228	7584.14803	7500.40592	7318.09485	7166.76404
6900.0	4.5	6991.85692	7499.58962	7439.30501	7283.40591	7167.87818
6900.0	5.0	7036.83809	7440.83593	7404.24382	7269.20578	7179.53177
6900.0	5.5	7055.87355	7382.82551	7365.23949	7249.35397	7181.57825
