Teff R M
3500.0 0.016474262526455112 0.313
3750.0 0.016474262526455112 0.313
4000.0 0.016500558253528058 0.314
4250.0 0.016500558253528058 0.314
4500.0 0.016500558253528058 0.314
4750.0 0.016526812141655835 0.315
5000.0 0.016553024389914142 0.316
5250.0 0.01657919519580496 0.317
5500.0 0.016605324755273897 0.318
5750.0 0.01665746091104919 0.32
6000.0 0.016709434394322004 0.322
6250.0 0.01673536060757763 0.323
6500.0 0.016761246718343205 0.324
6750.0 0.016787092912135818 0.325
7000.0 0.016812899373046586 0.326
7500.0 0.016864393825548843 0.328
8000.0 0.016915731520635743 0.33
8500.0 0.016941342029654537 0.331
9000.0 0.01699244724990367 0.333
9500.0 0.01704339923007668 0.335
10000.0 0.017094199340442887 0.337
11000.0 0.017195349331747732 0.341
12000.0 0.01729590778741828 0.345
13000.0 0.017345968406690233 0.347
14000.0 0.017420789609785922 0.35
15000.0 0.017520054171676076 0.354
16000.0 0.017594135069419974 0.357
17000.0 0.01766790535132909 0.36
18000.0 0.017741368892113495 0.363
19000.0 0.017814529486589924 0.366
20000.0 0.017887390851969193 0.369
21000.0 0.017984080155547304 0.373
22000.0 0.018056257355932866 0.376
23000.0 0.018128147185143027 0.379
24000.0 0.01819975304856465 0.382
25000.0 0.01827107828485412 0.385
26000.0 0.018342126167753756 0.388
27000.0 0.01841289990784522 0.391
28000.0 0.018459931657277228 0.393
29000.0 0.01853025546110672 0.396
30000.0 0.018600313387585832 0.399
31000.0 0.01867010842975836 0.402
32000.0 0.018716493863807766 0.404
33000.0 0.01878585726594565 0.407
34000.0 0.018854965496627466 0.41
35000.0 0.018900897271135884 0.412
36000.0 0.018969586403413265 0.415
37000.0 0.019015241310369448 0.417
38000.0 0.019083518877662742 0.42
39000.0 0.01912890186417218 0.422
40000.0 0.01919677517687956 0.425
42500.0 0.01930936719908781 0.43
45000.0 0.01944361702344157 0.436
47500.0 0.01953260429395696 0.44
50000.0 0.019643271492851055 0.445
52500.0 0.019753318692802075 0.45
55000.0 0.019819053712070447 0.453
57500.0 0.01986275619890031 0.455
60000.0 0.01994987396869945 0.459
65000.0 0.02027323172756723 0.474
70000.0 0.02052825095641994 0.486
75000.0 0.02063357874357488 0.491
80000.0 0.020925676289965927 0.505
85000.0 0.021254587231762434 0.521
90000.0 0.02151812579966541 0.534
100000.0 0.021917382956923064 0.554
110000.0 0.022522248537684354 0.585
120000.0 0.02303613021225547 0.612
130000.0 0.02352037019758073 0.638
140000.0 0.023958675663138786 0.662
150000.0 0.024389105453700294 0.686
3250.0 0.012468819643804724 0.567
3500.0 0.012468819643804724 0.567
3750.0 0.012468819643804724 0.567
4000.0 0.012479810231785897 0.568
4250.0 0.012479810231785897 0.568
4500.0 0.012479810231785897 0.568
4750.0 0.012479810231785897 0.568
5000.0 0.012490791149204494 0.569
5250.0 0.012490791149204494 0.569
5500.0 0.012501762421542918 0.57
5750.0 0.012512724074171862 0.571
6000.0 0.012523676132350973 0.572
6250.0 0.012534618621229558 0.573
6500.0 0.012534618621229558 0.573
6750.0 0.012545551565847243 0.574
7000.0 0.012545551565847243 0.574
7500.0 0.012556474991134636 0.575
8000.0 0.012567388921914007 0.576
8500.0 0.012578293382899935 0.577
9000.0 0.01258918839869996 0.578
9500.0 0.012600073993815238 0.579
10000.0 0.012610950192641173 0.58
11000.0 0.012643522653764202 0.583
12000.0 0.01266519108894782 0.585
13000.0 0.012686822515621397 0.587
14000.0 0.012697624409886102 0.588
15000.0 0.01271920067763105 0.59
16000.0 0.012740740406317244 0.592
17000.0 0.01275149662638948 0.593
18000.0 0.012772981892891614 0.595
19000.0 0.012794431079944577 0.597
20000.0 0.012815844368701056 0.599
21000.0 0.012826537607414711 0.6
22000.0 0.012847897385087518 0.602
23000.0 0.012869221710773864 0.604
24000.0 0.012890510760414739 0.606
25000.0 0.012911764708500651 0.608
26000.0 0.01292237857359628 0.609
