Teff	log(g)	T_BB_U	T_BB_B	T_BB_V	T_BB_R	T_BB_I
3100.0	4.5	2945.16104	3025.39208	2935.88503	2956.73733	3146.22455
3100.0	5.0	2877.81456	2995.99188	2925.97627	2960.01162	3158.23985
3100.0	5.5	2805.39457	2963.17377	2909.27265	2963.82926	3174.49619
3100.0	6.0	2716.10198	2910.89430	2859.68396	2944.86661	3181.31975
3200.0	4.0	3070.16788	3140.08412	3033.33644	3042.18672	3237.73775
3200.0	4.5	3038.54334	3132.88612	3051.82401	3067.15868	3253.34915
3200.0	5.0	2982.71288	3109.36682	3050.02557	3077.45117	3264.54096
3200.0	5.5	2915.32679	3078.21615	3036.28567	3082.89105	3279.18756
3200.0	6.0	2830.21153	3029.98785	2990.95709	3066.29264	3286.29528
3300.0	4.0	3144.21257	3239.11470	3143.39671	3148.64787	3343.24713
3300.0	4.5	3121.11885	3232.92256	3162.92761	3175.58867	3354.37578
3300.0	5.0	3081.21439	3218.44275	3171.42013	3195.43589	3368.81627
3300.0	5.5	3023.07822	3191.86575	3161.88217	3202.78130	3381.19718
3300.0	6.0	2946.59437	3148.46844	3124.64106	3190.60898	3389.41807
3400.0	4.0	3210.99138	3335.46361	3256.64392	3260.66238	3445.09037
3400.0	4.5	3198.82088	3331.98377	3276.20014	3289.05990	3455.25390
3400.0	5.0	3172.98649	3324.89272	3290.62934	3313.70844	3471.22227
3400.0	5.5	3125.71160	3301.38650	3284.22235	3322.44997	3481.96610
3400.0	6.0	3060.52225	3264.12330	3255.22971	3314.38221	3490.33799
3500.0	4.0	3279.95240	3437.82719	3374.02463	3378.23059	3553.71732
3500.0	4.5	3272.10467	3429.00786	3385.89224	3399.90032	3554.62458
3500.0	5.0	3258.40496	3427.33982	3404.86059	3429.12083	3572.32619
3500.0	5.5	3221.01713	3406.71538	3400.08325	3437.14137	3580.53476
3500.0	6.0	3167.88236	3376.04041	3380.20776	3434.41527	3590.36527
