Teff	log(g)	T_BB_U	T_BB_B	T_BB_V	T_BB_R	T_BB_I
3700.0	4.0	3512.25822	3667.60152	3634.07233	3641.55862	3745.11313
3700.0	4.5	3528.63843	3671.86776	3652.48988	3665.04291	3757.08897
3700.0	5.0	3531.47825	3671.75018	3662.11593	3677.87956	3765.98275
3700.0	5.5	3516.39980	3662.56927	3662.96996	3682.29259	3770.89291
3700.0	6.0	3486.36108	3648.89371	3661.17697	3685.94508	3779.03529
3800.0	4.0	3582.90110	3779.80391	3763.80744	3773.89838	3849.88674
3800.0	4.5	3662.63340	3825.97075	3859.08673	3881.75048	3862.69044
3800.0	5.0	3633.90568	3800.81489	3840.01445	3866.77693	3859.64734
3800.0	5.5	3594.31805	3775.85715	3824.47731	3855.39659	3863.05503
3800.0	6.0	3550.17432	3754.49306	3814.16562	3850.84183	3874.85952
3900.0	4.0	3785.51878	3967.89532	3990.35933	4004.78629	3971.35889
3900.0	4.5	3770.07806	3940.81170	3968.35667	3989.38984	3965.47712
3900.0	5.0	3747.21881	3914.85990	3948.29269	3974.36809	3959.95797
3900.0	5.5	3708.43347	3886.52644	3928.85162	3960.14455	3958.70443
3900.0	6.0	3670.66333	3854.50758	3883.73873	3914.97202	3976.72011
4000.0	4.0	3897.61925	4089.42275	4103.04038	4111.23882	4072.34116
4000.0	4.5	3753.76223	3995.54094	4016.44156	4040.04749	4064.39869
4000.0	5.0	3857.83635	4030.54051	4057.48749	4080.92311	4062.84857
4000.0	5.5	3768.89899	3969.10180	4000.80613	4033.27947	4070.71081
4000.0	6.0	3782.69595	3976.87504	4023.72919	4060.23064	4065.53628
4100.0	4.0	3845.43859	4152.35380	4173.83092	4188.28293	4178.11241
4100.0	4.5	3997.21585	4187.37485	4200.76524	4211.52821	4178.80522
4100.0	5.0	3972.85525	4152.69916	4172.72248	4191.61393	4169.99477
4100.0	5.5	3938.77756	4119.60532	4148.30149	4175.15534	4162.93187
4100.0	6.0	3851.91342	4063.82079	4106.59863	4146.06854	4179.93191
4200.0	4.0	4142.89924	4347.43535	4341.67332	4331.51531	4280.59112
4200.0	4.5	4111.83295	4315.49376	4321.57710	4325.37284	4287.73949
4200.0	5.0	4084.99395	4275.55017	4289.76498	4303.23335	4277.63912
4200.0	5.5	3943.59728	4187.22625	4231.49052	4271.13915	4281.34280
4200.0	6.0	3942.95784	4171.62575	4219.16309	4262.32874	4284.60868
4300.0	4.0	4066.92677	4405.46635	4434.08137	4442.57699	4397.84717
4300.0	4.5	4237.28856	4447.21689	4445.12021	4439.66628	4396.07310
4300.0	5.0	4034.36373	4338.54928	4379.54067	4413.08754	4399.72315
4300.0	5.5	4033.20406	4306.18857	4353.42248	4395.06603	4395.56249
4300.0	6.0	4133.09546	4331.52041	4357.99391	4385.20595	4374.13519
4400.0	4.0	4403.76172	4601.80748	4577.98360	4543.68295	4481.63533
4400.0	4.5	4168.94951	4512.53162	4545.24869	4562.12665	4517.76357
4400.0	5.0	4142.41852	4469.63012	4510.98237	4542.24528	4514.11037
4400.0	5.5	4286.60525	4494.33411	4506.77642	4518.08449	4493.54184
4400.0	6.0	4126.72573	4400.27694	4454.26516	4502.92845	4505.87148
4500.0	4.0	4536.48104	4723.83739	4695.85907	4650.17931	4587.30006
4500.0	4.5	4289.41952	4638.93508	4670.19321	4679.91785	4627.82860
4500.0	5.0	4453.02172	4673.34732	4669.65438	4659.85435	4617.63541
4500.0	5.5	4406.76277	4629.80497	4638.10206	4643.33457	4612.99663
4500.0	6.0	4369.73023	4586.08427	4603.17123	4619.68913	4600.12509
4600.0	4.0	4667.64805	4842.52819	4813.30473	4757.51332	4694.89706
4600.0	4.5	4410.25285	4762.06872	4792.63214	4794.29686	4738.33684
4600.0	5.0	4580.50356	4803.97036	4794.83518	4775.81388	4727.41002
4600.0	5.5	4533.12170	4762.93208	4765.96321	4762.73794	4727.25294
4600.0	6.0	4323.78209	4649.47453	4705.27167	4754.47098	4737.64286
4700.0	4.0	4796.37424	4956.79377	4926.35122	4861.60112	4799.39656
4700.0	4.5	4761.33246	4949.71912	4922.53416	4872.05517	4811.14497
4700.0	5.0	4712.55392	4929.52317	4914.79886	4884.46281	4831.71963
4700.0	5.5	4664.97917	4896.25622	4894.42808	4882.01264	4841.69521
4700.0	6.0	4611.78927	4850.27750	4859.79964	4863.35173	4834.03836
4800.0	4.0	4666.00661	5011.02157	5044.30869	5011.67908	4949.78138
4800.0	4.5	4889.45779	5062.93862	5034.52867	4974.92712	4914.73442
4800.0	5.0	4843.89597	5051.40192	5032.04651	4990.69737	4934.56365
4800.0	5.5	4792.85815	5025.04606	5019.16288	4998.02920	4952.89083
4800.0	6.0	4544.70075	4916.56771	4969.81872	5013.19214	4977.90784
4900.0	4.0	4790.00940	5129.04068	5163.05657	5121.95678	5059.90657
4900.0	4.5	4776.51863	5121.65727	5152.77830	5126.95785	5066.82208
4900.0	5.0	4747.85832	5109.83513	5142.33852	5135.36925	5077.04094
4900.0	5.5	4926.07902	5150.12711	5139.76093	5108.02064	5059.01116
4900.0	6.0	4660.45861	5048.71720	5099.90620	5138.06702	5095.76013
5000.0	4.0	5187.53137	5297.59789	5259.03518	5172.92425	5112.49822
5000.0	4.5	4897.92579	5237.16259	5268.95461	5234.48559	5173.78533
5000.0	5.0	4869.65211	5227.25949	5259.83313	5243.41501	5183.98737
5000.0	5.5	4831.30266	5208.89995	5247.05082	5252.65986	5196.62467
5000.0	6.0	4778.97369	5175.13520	5223.41125	5253.56598	5204.56770
5100.0	4.0	5052.90731	5347.29112	5380.81741	5326.71326	5262.80424
5100.0	4.5	5044.20384	5346.46093	5377.50786	5334.72717	5271.61942
5100.0	5.0	5010.95021	5333.80250	5365.21216	5339.20379	5277.46209
5100.0	5.5	5156.01637	5346.74622	5334.43345	5284.31153	5233.61844
