wavelength wdflux wdflux_e wdmodel
3615.4899273990645 4.13474915475e-05 8.9062496793315e-07 4.082776938289437e-05
4703.766576401741 4.5105617645e-05 9.278225549576501e-07 4.5851764556484195e-05
7603.703454074408 2.7673751892e-05 5.686956013805999e-07 2.741876583275234e-05
