logg logTeff y Filt Mod Teff
5.0 3.447 0.5896 B PHOENIX 2798.981319634363
5.0 3.477 0.5183 B PHOENIX 2999.16251898765
5.0 3.505 0.4625 B PHOENIX 3198.895109691397
5.0 3.531 0.4249 B PHOENIX 3396.2527259040853
5.0 3.556 0.4207 B PHOENIX 3597.4933515574235
5.0 3.58 0.4706 B PHOENIX 3801.8939632056126
5.0 3.602 0.5088 B PHOENIX 3999.4474976109736
5.0 3.623 0.6395 B PHOENIX 4197.589839910078
5.0 3.643 0.8642 B PHOENIX 4395.416154378243
5.0 3.663 0.8547 B PHOENIX 4602.565735813559
5.0 3.681 0.8734 B PHOENIX 4797.334486366892
5.0 3.699 0.8087 B PHOENIX 5000.345349769783
5.0 3.716 0.7391 B PHOENIX 5199.959965335162
5.0 3.732 0.6489 B PHOENIX 5395.1062251512785
5.0 3.748 0.5683 B PHOENIX 5597.576014951104
5.0 3.763 0.4661 B PHOENIX 5794.286964268809
5.0 3.845 0.3015 B PHOENIX 6998.419960022738
5.0 3.857 0.198 B PHOENIX 7194.489780036998
5.0 3.869 0.1468 B PHOENIX 7396.052750582382
5.0 3.881 0.3393 B PHOENIX 7603.262769401815
5.0 3.892 0.7742 B PHOENIX 7798.3011052325855
5.0 3.903 0.9613 B PHOENIX 7998.342550070284
5.0 3.914 0.9649 B PHOENIX 8203.515443298185
5.0 3.924 0.956 B PHOENIX 8394.599865193974
5.0 3.934 0.9551 B PHOENIX 8590.13521505396
5.0 3.944 1.0143 B PHOENIX 8790.225168308842
5.0 3.954 0.9877 B PHOENIX 8994.975815300355
5.0 3.964 0.9476 B PHOENIX 9204.495717531712
5.0 3.973 0.9151 B PHOENIX 9397.233105646375
5.0 3.982 0.7231 B PHOENIX 9594.006315159337
5.0 3.991 0.4131 B PHOENIX 9794.89985408699
