log(g) logTeff y Filt Mod Teff
5.0 3.447 0.5721 R PHOENIX 2798.981319634363
5.0 3.477 0.4742 R PHOENIX 2999.16251898765
5.0 3.505 0.4426 R PHOENIX 3198.895109691397
5.0 3.531 0.4042 R PHOENIX 3396.2527259040853
5.0 3.556 0.3939 R PHOENIX 3597.4933515574235
5.0 3.58 0.4567 R PHOENIX 3801.8939632056126
5.0 3.602 0.565 R PHOENIX 3999.4474976109736
5.0 3.623 0.6759 R PHOENIX 4197.589839910078
5.0 3.643 0.6197 R PHOENIX 4395.416154378243
5.0 3.663 0.578 R PHOENIX 4602.565735813559
5.0 3.681 0.5363 R PHOENIX 4797.334486366892
5.0 3.699 0.5024 R PHOENIX 5000.345349769783
5.0 3.716 0.47 R PHOENIX 5199.959965335162
5.0 3.732 0.4281 R PHOENIX 5395.1062251512785
5.0 3.748 0.3906 R PHOENIX 5597.576014951104
5.0 3.763 0.3281 R PHOENIX 5794.286964268809
5.0 3.845 0.2072 R PHOENIX 6998.419960022738
5.0 3.857 0.1459 R PHOENIX 7194.489780036998
5.0 3.869 0.1117 R PHOENIX 7396.052750582382
5.0 3.881 0.2419 R PHOENIX 7603.262769401815
5.0 3.892 0.5345 R PHOENIX 7798.3011052325855
5.0 3.903 0.6555 R PHOENIX 7998.342550070284
5.0 3.914 0.6461 R PHOENIX 8203.515443298185
5.0 3.924 0.6361 R PHOENIX 8394.599865193974
5.0 3.934 0.6141 R PHOENIX 8590.13521505396
5.0 3.944 0.5861 R PHOENIX 8790.225168308842
5.0 3.954 0.5467 R PHOENIX 8994.975815300355
5.0 3.964 0.4658 R PHOENIX 9204.495717531712
5.0 3.973 0.4736 R PHOENIX 9397.233105646375
5.0 3.982 0.5088 R PHOENIX 9594.006315159337
5.0 3.991 0.4575 R PHOENIX 9794.89985408699
