logg logTeff y Filt Mod Teff
5.0 3.447 0.4521 I PHOENIX 2798.981319634363
5.0 3.477 0.3714 I PHOENIX 2999.16251898765
5.0 3.505 0.3181 I PHOENIX 3198.895109691397
5.0 3.531 0.2811 I PHOENIX 3396.2527259040853
5.0 3.556 0.2588 I PHOENIX 3597.4933515574235
5.0 3.58 0.2761 I PHOENIX 3801.8939632056126
5.0 3.602 0.3256 I PHOENIX 3999.4474976109736
5.0 3.623 0.3919 I PHOENIX 4197.589839910078
5.0 3.643 0.4506 I PHOENIX 4395.416154378243
5.0 3.663 0.4309 I PHOENIX 4602.565735813559
5.0 3.681 0.4382 I PHOENIX 4797.334486366892
5.0 3.699 0.4226 I PHOENIX 5000.345349769783
5.0 3.716 0.3986 I PHOENIX 5199.959965335162
5.0 3.732 0.3668 I PHOENIX 5395.1062251512785
5.0 3.748 0.3374 I PHOENIX 5597.576014951104
5.0 3.763 0.2786 I PHOENIX 5794.286964268809
5.0 3.845 0.1754 I PHOENIX 6998.419960022738
5.0 3.857 0.1233 I PHOENIX 7194.489780036998
5.0 3.869 0.0951 I PHOENIX 7396.052750582382
5.0 3.881 0.2017 I PHOENIX 7603.262769401815
5.0 3.892 0.4407 I PHOENIX 7798.3011052325855
5.0 3.903 0.5394 I PHOENIX 7998.342550070284
5.0 3.914 0.5312 I PHOENIX 8203.515443298185
5.0 3.924 0.5248 I PHOENIX 8394.599865193974
5.0 3.934 0.5086 I PHOENIX 8590.13521505396
5.0 3.944 0.4693 I PHOENIX 8790.225168308842
5.0 3.954 0.4396 I PHOENIX 8994.975815300355
5.0 3.964 0.3968 I PHOENIX 9204.495717531712
5.0 3.973 0.3925 I PHOENIX 9397.233105646375
5.0 3.982 0.4318 I PHOENIX 9594.006315159337
5.0 3.991 0.4449 I PHOENIX 9794.89985408699
