log(g) logTeff y Filt Mod Teff
5.0 3.415 0.4867 U PHOENIX 2600.159563165272
5.0 3.447 0.4811 U PHOENIX 2798.981319634363
5.0 3.477 0.4349 U PHOENIX 2999.16251898765
5.0 3.505 0.4432 U PHOENIX 3198.895109691397
5.0 3.531 0.3974 U PHOENIX 3396.2527259040853
5.0 3.556 0.4022 U PHOENIX 3597.4933515574235
5.0 3.58 0.5182 U PHOENIX 3801.8939632056126
5.0 3.602 0.6666 U PHOENIX 3999.4474976109736
5.0 3.623 0.748 U PHOENIX 4197.589839910078
5.0 3.643 0.8182 U PHOENIX 4395.416154378243
5.0 3.663 1.2481 U PHOENIX 4602.565735813559
5.0 3.681 1.3872 U PHOENIX 4797.334486366892
5.0 3.699 1.3568 U PHOENIX 5000.345349769783
5.0 3.716 1.265 U PHOENIX 5199.959965335162
5.0 3.732 1.1217 U PHOENIX 5395.1062251512785
5.0 3.748 0.9771 U PHOENIX 5597.576014951104
5.0 3.763 0.678 U PHOENIX 5794.286964268809
5.0 3.845 0.4568 U PHOENIX 6998.419960022738
5.0 3.857 0.2613 U PHOENIX 7194.489780036998
5.0 3.869 0.1941 U PHOENIX 7396.052750582382
5.0 3.881 0.4235 U PHOENIX 7603.262769401815
5.0 3.892 0.9325 U PHOENIX 7798.3011052325855
5.0 3.903 1.1391 U PHOENIX 7998.342550070284
5.0 3.914 1.1349 U PHOENIX 8203.515443298185
5.0 3.924 1.1257 U PHOENIX 8394.599865193974
5.0 3.934 1.1314 U PHOENIX 8590.13521505396
5.0 3.944 1.168 U PHOENIX 8790.225168308842
5.0 3.954 1.15 U PHOENIX 8994.975815300355
5.0 3.964 1.1527 U PHOENIX 9204.495717531712
5.0 3.973 1.0966 U PHOENIX 9397.233105646375
5.0 3.982 0.9278 U PHOENIX 9594.006315159337
5.0 3.991 0.7232 U PHOENIX 9794.89985408699
