Teff log(g) y
8749.837752274363 2.5 0.4966
8994.975815300355 2.5 0.4889
9246.98173938223 2.5 0.483
9506.04793656282 2.5 0.4753
9749.896377173867 2.5 0.4669
10000.0 2.5 0.4571
10256.519262514079 2.5 0.4473
10495.42428652322 2.5 0.439
10739.89412341244 2.5 0.4296
10990.05839432522 2.5 0.4196
11246.049739669268 2.5 0.411
11508.003889444357 2.5 0.4019
11748.975549395303 2.5 0.3937
11994.993031493781 2.5 0.3865
12246.16199265049 2.5 0.3806
12502.590302177214 2.5 0.3762
12764.388088113436 2.5 0.3729
13001.695780332899 2.5 0.3684
13995.873225726178 2.5 0.366
14996.84835502374 2.5 0.3678
15995.580286146678 2.5 0.374
16982.43652461746 2.5 0.3839
17988.709151287872 2.5 0.3952
19010.782799232995 2.5 0.4065
3499.451670283573 3.0 0.4537
3749.730022454834 3.0 0.3732
3999.4474976109736 3.0 0.3864
4246.19563946313 3.0 0.4314
4497.798548932879 3.0 0.4481
4753.352259428054 3.0 0.4453
5000.345349769783 3.0 0.4244
5248.074602497728 3.0 0.3881
5495.408738576249 3.0 0.3487
5754.399373371566 3.0 0.3118
5997.910762555094 3.0 0.2768
6251.726927756856 3.0 0.2439
6501.296903430909 3.0 0.2182
6745.280276979222 3.0 0.1917
6998.419960022738 3.0 0.174
7244.359600749898 3.0 0.1183
7498.942093324558 3.0 0.1225
7744.617978025183 3.0 0.4062
7998.342550070284 3.0 0.5384
8241.38115013002 3.0 0.5193
8491.804750363135 3.0 0.5009
8749.837752274363 3.0 0.4851
8994.975815300355 3.0 0.4747
9246.98173938223 3.0 0.4674
9506.04793656282 3.0 0.4612
9749.896377173867 3.0 0.4559
10000.0 3.0 0.4496
10256.519262514079 3.0 0.4423
10495.42428652322 3.0 0.4353
10739.89412341244 3.0 0.4276
10990.05839432522 3.0 0.4196
11246.049739669268 3.0 0.411
11508.003889444357 3.0 0.4027
11748.975549395303 3.0 0.3951
11994.993031493781 3.0 0.3871
12246.16199265049 3.0 0.3802
12502.590302177214 3.0 0.3742
12764.388088113436 3.0 0.3694
13001.695780332899 3.0 0.3607
13995.873225726178 3.0 0.356
14996.84835502374 3.0 0.3521
15995.580286146678 3.0 0.3532
16982.43652461746 3.0 0.358
17988.709151287872 3.0 0.3656
19010.782799232995 3.0 0.3751
19998.61869632745 3.0 0.3874
20989.398836235243 3.0 0.3913
21978.59872784823 3.0 0.3901
23014.41817408509 3.0 0.3925
23988.329190194898 3.0 0.4094
25003.453616964296 3.0 0.4348
26001.595631652723 3.0 0.4589
3499.451670283573 3.5 0.4079
3749.730022454834 3.5 0.3583
3999.4474976109736 3.5 0.3885
4246.19563946313 3.5 0.4362
4497.798548932879 3.5 0.4492
4753.352259428054 3.5 0.445
5000.345349769783 3.5 0.425
5248.074602497728 3.5 0.3898
5495.408738576249 3.5 0.3495
5754.399373371566 3.5 0.3112
5997.910762555094 3.5 0.2767
6251.726927756856 3.5 0.2443
6501.296903430909 3.5 0.2178
6745.280276979222 3.5 0.1919
6998.419960022738 3.5 0.1724
7244.359600749898 3.5 0.1167
7498.942093324558 3.5 0.1245
7744.617978025183 3.5 0.425
7998.342550070284 3.5 0.5442
8241.38115013002 3.5 0.5185
8491.804750363135 3.5 0.5009
8749.837752274363 3.5 0.4809
8994.975815300355 3.5 0.466
9246.98173938223 3.5 0.4549
9506.04793656282 3.5 0.4477
9749.896377173867 3.5 0.4433
10000.0 3.5 0.4392
10256.519262514079 3.5 0.4332
10495.42428652322 3.5 0.4279
10739.89412341244 3.5 0.4228
10990.05839432522 3.5 0.4167
11246.049739669268 3.5 0.4097
11508.003889444357 3.5 0.4028
11748.975549395303 3.5 0.3957
11994.993031493781 3.5 0.3884
12246.16199265049 3.5 0.3819
12502.590302177214 3.5 0.3753
12764.388088113436 3.5 0.37
13001.695780332899 3.5 0.3592
13995.873225726178 3.5 0.3527
14996.84835502374 3.5 0.3455
15995.580286146678 3.5 0.3434
16982.43652461746 3.5 0.3455
17988.709151287872 3.5 0.3507
19010.782799232995 3.5 0.3579
19998.61869632745 3.5 0.3667
20989.398836235243 3.5 0.3754
21978.59872784823 3.5 0.3819
23014.41817408509 3.5 0.3841
23988.329190194898 3.5 0.3829
25003.453616964296 3.5 0.3845
26001.595631652723 3.5 0.3959
26977.394324449207 3.5 0.4278
27989.813196343628 3.5 0.4422
28973.435877013213 3.5 0.44
29991.62518987653 3.5 0.4161
30974.19299216578 3.5 0.384
3499.451670283573 4.0 0.3417
3749.730022454834 4.0 0.3396
3999.4474976109736 4.0 0.3772
4246.19563946313 4.0 0.4392
4497.798548932879 4.0 0.4511
4753.352259428054 4.0 0.4453
5000.345349769783 4.0 0.4258
5248.074602497728 4.0 0.3903
5495.408738576249 4.0 0.3492
5754.399373371566 4.0 0.3117
5997.910762555094 4.0 0.2773
6251.726927756856 4.0 0.2433
6501.296903430909 4.0 0.2161
6745.280276979222 4.0 0.1903
6998.419960022738 4.0 0.1718
7244.359600749898 4.0 0.1162
7498.942093324558 4.0 0.1225
7744.617978025183 4.0 0.4377
7998.342550070284 4.0 0.5802
8241.38115013002 4.0 0.5283
8491.804750363135 4.0 0.4989
8749.837752274363 4.0 0.4835
8994.975815300355 4.0 0.4628
9246.98173938223 4.0 0.4471
9506.04793656282 4.0 0.4368
9749.896377173867 4.0 0.4306
10000.0 4.0 0.4279
10256.519262514079 4.0 0.4243
10495.42428652322 4.0 0.4183
10739.89412341244 4.0 0.4144
10990.05839432522 4.0 0.4108
11246.049739669268 4.0 0.4057
11508.003889444357 4.0 0.4005
11748.975549395303 4.0 0.3948
11994.993031493781 4.0 0.3888
12246.16199265049 4.0 0.3834
12502.590302177214 4.0 0.3775
12764.388088113436 4.0 0.3719
13001.695780332899 4.0 0.3603
13995.873225726178 4.0 0.3529
14996.84835502374 4.0 0.3432
15995.580286146678 4.0 0.3386
16982.43652461746 4.0 0.3386
17988.709151287872 4.0 0.3415
19010.782799232995 4.0 0.3469
19998.61869632745 4.0 0.3543
20989.398836235243 4.0 0.3629
21978.59872784823 4.0 0.3718
23014.41817408509 4.0 0.3796
23988.329190194898 4.0 0.3844
25003.453616964296 4.0 0.3867
