Teff	log(g)	T_BB_tess
5200.0	5.5	5345.16284
5300.0	4.0	5436.16459
5300.0	4.5	5433.19573
5300.0	5.0	5439.28555
5300.0	5.5	5448.82392
5400.0	4.0	5541.02873
5400.0	4.5	5537.67688
5400.0	5.0	5545.02076
5400.0	5.5	5551.93215
5500.0	4.0	5646.12048
5500.0	4.5	5641.94038
5500.0	5.0	5652.89736
5500.0	5.5	5653.69761
5600.0	4.0	5751.50949
5600.0	4.5	5746.84498
5600.0	5.0	5751.54922
5600.0	5.5	5757.53702
5700.0	4.0	5858.71788
5700.0	4.5	5852.23990
5700.0	5.0	5854.44333
5700.0	5.5	5840.31498
5800.0	4.0	5964.95407
5800.0	4.5	5951.18571
5800.0	5.0	5956.63231
5800.0	5.5	5964.76322
5900.0	4.0	6070.49762
5900.0	4.5	6062.27350
5900.0	5.0	6059.42579
5900.0	5.5	6070.75552
6000.0	4.0	6171.16045
6000.0	4.5	6160.46511
6000.0	5.0	6157.16858
6000.0	5.5	6165.71261
6100.0	4.0	6279.05764
6100.0	4.5	6261.03040
6100.0	5.0	6262.63417
6100.0	5.5	6266.36487
6200.0	4.0	6383.45478
6200.0	4.5	6367.08872
6200.0	5.0	6363.32586
6200.0	5.5	6361.71992
6300.0	4.0	6486.72989
6300.0	4.5	6469.58162
6300.0	5.0	6463.37155
6300.0	5.5	6460.10926
6400.0	4.0	6591.12809
6400.0	4.5	6574.20319
6400.0	5.0	6565.10170
6400.0	5.5	6558.04297
6500.0	4.0	6696.15143
6500.0	4.5	6676.47775
6500.0	5.0	6665.81443
6500.0	5.5	6658.80462
6600.0	4.0	6800.90106
6600.0	4.5	6778.96011
6600.0	5.0	6767.36642
6600.0	5.5	6757.87653
6700.0	4.0	6904.41758
6700.0	4.5	6879.11500
6700.0	5.0	6868.90065
6700.0	5.5	6857.24685
6800.0	4.0	7010.75967
6800.0	4.5	6983.28078
6800.0	5.0	6971.97974
6800.0	5.5	6956.32055
6900.0	4.0	7117.68524
6900.0	4.5	7086.40898
6900.0	5.0	7072.30965
6900.0	5.5	7056.70710
