Teff	log(g)	T_BB_g	T_BB_r	T_BB_i
3200.0	4.0	3128.03594	2815.21139	3233.69245
3200.0	4.5	3157.80504	2893.19151	3262.72161
3200.0	5.0	3151.90614	2907.45133	3265.80962
3200.0	5.5	3154.95865	2940.78166	3284.72228
3300.0	4.0	3236.86745	2941.88296	3339.04461
3300.0	4.5	3263.31167	3009.28308	3364.36451
3300.0	5.0	3267.99494	3041.60380	3375.95669
3300.0	5.5	3267.12122	3074.28959	3386.77087
3400.0	4.0	3346.13157	3073.41814	3443.19606
3400.0	4.5	3374.83277	3142.84798	3470.31132
3400.0	5.0	3372.54643	3170.12240	3472.32292
3400.0	5.5	3385.89076	3216.43431	3496.27613
3500.0	4.0	3455.59175	3204.99940	3545.06606
3500.0	4.5	3477.75225	3269.07961	3567.28521
3500.0	5.0	3481.70856	3302.07104	3575.35427
3500.0	5.5	3489.91290	3341.26017	3592.51656
3600.0	4.0	3569.48077	3342.87512	3648.24809
3600.0	4.5	3589.24475	3407.30781	3671.16946
3600.0	5.0	3597.34760	3441.37618	3685.46418
3600.0	5.5	3598.16688	3475.38116	3692.62051
3700.0	4.0	3686.66169	3484.42628	3752.17855
3700.0	4.5	3700.44860	3544.10484	3774.07854
3700.0	5.0	3712.19388	3586.48103	3792.78197
3700.0	5.5	3713.68595	3618.05437	3801.28638
3800.0	4.0	3813.15885	3636.45689	3862.12199
3800.0	4.5	3809.41214	3678.91431	3873.15625
3800.0	5.0	3814.48848	3716.71596	3887.63404
3800.0	5.5	3811.17618	3736.70085	3893.44982
3900.0	4.0	3943.69914	3808.64685	3970.62676
3900.0	4.5	3924.94837	3817.77407	3976.45461
3900.0	5.0	3920.71018	3846.95956	3986.56837
3900.0	5.5	3913.64359	3865.37514	3989.03960
4000.0	4.0	4076.72078	3970.11735	4083.02695
4000.0	4.5	4046.94650	3959.28458	4083.69168
4000.0	5.0	4036.98851	3991.33963	4092.44929
4000.0	5.5	4022.68714	4005.20569	4090.40557
4100.0	4.0	4160.99500	4148.08666	4205.76861
4100.0	4.5	4129.86279	4125.12262	4206.82412
4100.0	5.0	4100.19412	4128.88521	4201.09636
4100.0	5.5	4080.62676	4123.93703	4199.39583
4200.0	4.0	4293.48205	4307.44885	4319.15651
4200.0	4.5	4260.01600	4281.47245	4316.96520
4200.0	5.0	4225.61818	4269.45074	4313.13503
4200.0	5.5	4197.67207	4257.40970	4307.57544
4300.0	4.0	4421.36164	4451.81214	4426.42103
4300.0	4.5	4396.29150	4436.26802	4431.36459
4300.0	5.0	4361.76288	4417.42815	4432.04310
4300.0	5.5	4321.47949	4393.18981	4420.98357
4400.0	4.0	4550.01969	4584.80387	4536.48086
4400.0	4.5	4530.50867	4578.24908	4544.76103
4400.0	5.0	4493.70129	4556.96547	4545.20115
4400.0	5.5	4448.84869	4529.12599	4534.56082
4500.0	4.0	4679.00892	4709.30659	4647.46279
4500.0	4.5	4660.36274	4706.67932	4654.82201
4500.0	5.0	4630.82143	4696.28458	4659.76806
4500.0	5.5	4592.81652	4676.50986	4660.68210
4600.0	4.0	4805.75717	4828.03030	4758.53888
4600.0	4.5	4787.14963	4826.49517	4763.92589
4600.0	5.0	4765.85167	4826.65626	4775.14693
4600.0	5.5	4727.00266	4809.74520	4775.94634
4700.0	4.0	4930.22963	4943.44230	4869.01541
4700.0	4.5	4914.45040	4945.26593	4876.21717
4700.0	5.0	4895.68561	4947.92953	4886.01779
4700.0	5.5	4863.30566	4940.08246	4892.15710
4800.0	4.0	5050.32446	5054.84989	4977.52787
4800.0	4.5	5039.16630	5060.24499	4986.90353
4800.0	5.0	5023.15166	5065.29307	4996.59844
4800.0	5.5	5003.05721	5070.56472	5010.85244
4900.0	4.0	5173.29369	5169.19741	5089.52707
4900.0	4.5	5159.56216	5170.88341	5094.48313
4900.0	5.0	5147.39437	5179.56670	5106.77338
4900.0	5.5	5125.26801	5183.31173	5117.30896
5000.0	4.0	5290.03612	5279.53359	5199.09907
5000.0	4.5	5280.40818	5283.39507	5204.83507
5000.0	5.0	5268.29105	5290.79972	5215.15776
5000.0	5.5	5247.75809	5294.62302	5224.51754
5100.0	4.0	5405.75839	5389.03467	5308.28393
5100.0	4.5	5397.15555	5391.90778	5312.14976
5100.0	5.0	5388.25794	5401.15917	5323.53804
5100.0	5.5	5371.73188	5407.28612	5331.84787
5200.0	4.0	5521.07052	5497.46022	5415.99376
5200.0	4.5	5514.15850	5501.41119	5420.52755
5200.0	5.0	5507.13607	5511.45285	5432.77032
5200.0	5.5	5495.17800	5521.78429	5444.99491
5300.0	4.0	5638.26598	5608.34166	5525.97949
5300.0	4.5	5630.12031	5610.23470	5528.85528
5300.0	5.0	5622.23334	5618.94978	5539.66881
5300.0	5.5	5612.05785	5629.81312	5552.24427
5400.0	4.0	5753.74998	5716.72671	5633.78063
5400.0	4.5	5745.13658	5718.27948	5636.36880
5400.0	5.0	5739.64648	5728.82693	5649.23224
5400.0	5.5	5727.92205	5736.63307	5658.86742
5500.0	4.0	5868.85693	5825.21888	5741.51963
5500.0	4.5	5860.35555	5825.92307	5743.21899
5500.0	5.0	5859.56565	5841.12638	5760.45383
5500.0	5.5	5841.03758	5842.30945	5764.40210
5600.0	4.0	5983.72396	5934.15538	5849.13765
5600.0	4.5	5973.77767	5934.06688	5850.99040
5600.0	5.0	5964.60202	5941.67484	5862.48702
5600.0	5.5	5954.82167	5949.61827	5871.93542
5700.0	4.0	6100.60736	6044.39229	5958.77936
5700.0	4.5	6089.38790	6043.02230	5959.36466
5700.0	5.0	6077.27151	6048.14461	5969.07064
5700.0	5.5	6038.42456	6031.92030	5959.18598
5800.0	4.0	6218.21938	6154.53114	6067.12528
5800.0	4.5	6195.43304	6143.64879	6060.96183
5800.0	5.0	6189.41931	6154.15975	6074.64325
5800.0	5.5	6181.88492	6164.04170	6087.04440
5900.0	4.0	6336.42819	6264.35870	6174.69787
5900.0	4.5	6314.86083	6258.47279	6175.27116
5900.0	5.0	6302.20298	6260.65326	6181.07399
5900.0	5.5	6299.67001	6274.38407	6196.84032
6000.0	4.0	6454.72921	6370.91697	6276.82352
6000.0	4.5	6424.63379	6360.32820	6275.90067
6000.0	5.0	6411.22434	6362.10344	6282.17733
6000.0	5.5	6403.80289	6372.19650	6295.36358
6100.0	4.0	6577.88909	6483.84300	6386.37876
6100.0	4.5	6538.86655	6465.38657	6379.27765
6100.0	5.0	6526.74777	6471.41345	6391.56115
6100.0	5.5	6514.33156	6476.13368	6400.00291
6200.0	4.0	6698.98418	6593.85011	6491.53206
6200.0	4.5	6659.07454	6577.17034	6488.45009
6200.0	5.0	6639.69304	6575.97048	6494.81772
6200.0	5.5	6620.75213	6575.54060	6500.07782
6300.0	4.0	6821.03326	6704.14944	6595.91421
6300.0	4.5	6775.36400	6683.86806	6592.32382
6300.0	5.0	6753.71107	6681.31734	6598.33726
6300.0	5.5	6730.10675	6676.66785	6600.46547
6400.0	4.0	6944.95656	6815.60776	6700.88146
6400.0	4.5	6897.29093	6795.74802	6699.46296
6400.0	5.0	6869.25787	6788.63259	6702.85262
6400.0	5.5	6842.34685	6780.78772	6703.26969
6500.0	4.0	7071.32660	6928.34612	6805.44133
6500.0	4.5	7015.05260	6902.05933	6802.30108
6500.0	5.0	6984.70306	6894.51137	6806.11800
6500.0	5.5	6954.74647	6884.94945	6805.82360
6600.0	4.0	7199.59986	7041.60581	6910.25211
6600.0	4.5	7136.43710	7012.30194	6906.76203
6600.0	5.0	7101.86082	7002.02904	6910.24161
6600.0	5.5	7067.90079	6989.66181	6908.72565
6700.0	4.0	7325.42884	7153.90716	7012.10410
6700.0	4.5	7258.81020	7120.45568	7006.67453
6700.0	5.0	7218.62406	7109.90191	7014.08191
6700.0	5.5	7180.12105	7093.63170	7010.34290
6800.0	4.0	7456.29965	7269.41570	7116.02664
6800.0	4.5	7385.93871	7233.50060	7110.52634
6800.0	5.0	7338.93718	7219.77745	7118.79676
6800.0	5.5	7293.90046	7199.10764	7112.44544
6900.0	4.0	7589.68254	7385.15538	7219.86874
6900.0	4.5	7510.72543	7344.71592	7212.61413
6900.0	5.0	7459.31555	7327.38459	7219.27381
6900.0	5.5	7407.49732	7304.48516	7215.62488
