Teff	log(g)	T_BB_g	T_BB_r	T_BB_i
4300.0	5.0	4354.46822	4431.42632	4417.16671
4300.0	5.5	4321.84548	4409.74362	4410.14820
4300.0	6.0	4342.45200	4402.52042	4386.86797
4400.0	4.0	4608.49534	4575.05980	4502.90696
4400.0	4.5	4532.80601	4589.83296	4538.94859
4400.0	5.0	4489.00973	4566.04957	4533.15396
4400.0	5.5	4505.69813	4541.36536	4509.46564
4400.0	6.0	4418.58987	4518.72663	4519.70520
4500.0	4.0	4681.73413	4709.38469	4641.14487
4500.0	4.5	4662.89929	4711.06225	4649.55855
4500.0	5.0	4625.77529	4698.92843	4652.56730
4500.0	5.5	4642.92732	4669.70804	4630.64846
4500.0	6.0	4542.76359	4646.64060	4634.88947
4600.0	4.0	4806.40436	4824.58240	4752.31893
4600.0	4.5	4838.76932	4800.61293	4729.23825
4600.0	5.0	4816.56430	4807.70996	4748.41129
4600.0	5.5	4718.19583	4806.48559	4764.95299
4600.0	6.0	4731.27655	4767.22133	4733.22783
4700.0	4.0	4930.75263	4936.72269	4861.49077
4700.0	4.5	4915.63630	4942.41147	4871.03242
4700.0	5.0	4892.67263	4944.82200	4879.17151
4700.0	5.5	4856.48395	4938.24476	4885.69972
4700.0	6.0	4866.99696	4892.21275	4852.22532
4800.0	4.0	5083.58251	5003.13579	4927.33749
4800.0	4.5	5035.98302	5052.66083	4978.95246
4800.0	5.0	5065.18193	5026.20212	4956.62819
4800.0	5.5	5041.69198	5031.89923	4974.21455
4800.0	6.0	5000.51075	5014.54778	4969.11073
4900.0	4.0	5197.03095	5108.51711	5032.55078
4900.0	4.5	5190.19804	5116.48717	5042.27522
4900.0	5.0	5182.02482	5131.38707	5061.29109
4900.0	5.5	5167.36955	5143.72351	5081.06183
4900.0	6.0	5132.54736	5134.47220	5084.23368
5000.0	4.0	5306.87675	5210.86455	5135.07645
5000.0	4.5	5277.25464	5273.46466	5196.93974
5000.0	5.0	5295.15288	5234.65250	5164.71533
5000.0	5.5	5245.82108	5291.35029	5220.51843
5000.0	6.0	5257.65769	5248.09754	5193.12890
5100.0	4.0	5398.27687	5298.70924	5224.91429
5100.0	4.5	5391.74799	5304.21644	5232.15263
5100.0	5.0	5388.31994	5318.38279	5249.16350
5100.0	5.5	5367.30706	5394.06831	5318.77833
5100.0	6.0	5334.23526	5395.14452	5327.24659
5200.0	4.0	5513.11200	5477.35581	5396.42785
5200.0	4.5	5499.99151	5405.20499	5333.16936
5200.0	5.0	5488.16970	5412.68032	5345.49461
5200.0	5.5	5479.59798	5422.93115	5357.97025
5200.0	6.0	5450.95099	5419.44799	5361.60625
5300.0	4.0	5628.92952	5587.72108	5506.33692
5300.0	4.5	5624.67669	5591.70328	5511.39406
5300.0	5.0	5594.13229	5511.65624	5445.11664
5300.0	5.5	5586.35952	5521.77725	5457.97883
5300.0	6.0	5563.64910	5521.64682	5463.53354
5400.0	4.0	5723.50639	5601.58302	5526.78095
5400.0	4.5	5718.01830	5611.23057	5540.66680
5400.0	5.0	5699.86652	5610.41089	5544.26744
5400.0	5.5	5687.98839	5615.57635	5552.97012
5400.0	6.0	5691.91124	5638.99663	5579.75088
5500.0	4.0	5861.21140	5803.16579	5719.98919
5500.0	4.5	5812.70512	5701.21377	5631.90379
5500.0	5.0	5847.52091	5813.32553	5733.35869
5500.0	5.5	5821.21488	5812.70148	5737.62139
5500.0	6.0	5812.70915	5829.21096	5756.13236
5600.0	4.0	5978.66350	5910.73078	5826.05539
5600.0	4.5	5901.11210	5782.87587	5713.24233
5600.0	5.0	5879.43088	5778.28096	5714.24353
5600.0	5.5	5937.88287	5920.72845	5845.86133
5600.0	6.0	5878.50307	5810.36698	5753.19192
5700.0	4.0	6092.70675	6017.27489	5931.16056
5700.0	4.5	6082.44959	6017.07970	5933.89618
5700.0	5.0	6059.00155	6015.11163	5938.23121
5700.0	5.5	5971.33561	5878.75432	5818.60298
5700.0	6.0	5962.43793	5887.08387	5830.89861
5800.0	4.0	6209.60320	6124.66923	6036.22006
5800.0	4.5	6182.87610	6115.21141	6034.52549
5800.0	5.0	6170.02679	6118.38322	6041.21182
5800.0	5.5	6102.02918	5999.74840	5939.50701
5800.0	6.0	6065.26496	5982.11917	5926.56475
5900.0	4.0	6257.50995	6090.56521	6008.33254
5900.0	4.5	6277.50123	6202.66006	6120.47120
5900.0	5.0	6282.16141	6221.58592	6143.90914
5900.0	5.5	6180.35391	6072.35750	6012.62505
5900.0	6.0	6262.18001	6241.79786	6169.16062
6000.0	4.0	6446.31449	6340.54237	6245.58429
6000.0	4.5	6409.16083	6324.48312	6240.88927
6000.0	5.0	6300.50398	6167.12146	6101.91538
6000.0	5.5	6380.94398	6330.30748	6255.38061
6000.0	6.0	6346.06348	6318.87607	6246.23534
6100.0	4.0	6486.38314	6297.66697	6208.86576
6100.0	4.5	6444.81295	6277.00001	6199.17528
6100.0	5.0	6408.56805	6266.50384	6200.11117
6100.0	5.5	6385.34878	6261.41195	6201.37763
6100.0	6.0	6447.98315	6414.69634	6344.79846
6200.0	4.0	6599.66156	6400.83268	6307.64426
6200.0	4.5	6554.90461	6377.82945	6297.42588
6200.0	5.0	6514.35336	6363.70463	6295.67337
6200.0	5.5	6598.33812	6532.86377	6458.40941
6200.0	6.0	6548.04172	6507.62913	6438.93149
6300.0	4.0	6810.28702	6664.72167	6554.37039
6300.0	4.5	6665.29930	6479.05695	6395.59361
6300.0	5.0	6620.06459	6460.97237	6390.95292
6300.0	5.5	6585.67239	6445.38279	6384.14831
6300.0	6.0	6563.32014	6441.25304	6387.43404
6400.0	4.0	6839.78838	6607.46017	6498.44369
6400.0	4.5	6772.83491	6577.64385	6490.45830
6400.0	5.0	6841.32298	6737.22094	6651.76210
6400.0	5.5	6802.09800	6722.73729	6648.43167
6400.0	6.0	6761.41134	6704.74843	6636.15353
6500.0	4.0	7058.13008	6884.12339	6758.92804
6500.0	4.5	6984.07593	6849.09268	6749.01841
6500.0	5.0	6835.73646	6660.12877	6584.70480
