Teff log(g) a1 a2 a3 a4 I1 beaming
17000.0 5.25 0.7218 -0.0367 -0.0609 0.0126 0.00035164 0.7753
20000.0 5.25 0.7418 -0.1975 0.0991 -0.0428 0.000461896 0.9917
25000.0 5.25 0.8893 -0.6841 0.5898 -0.2179 0.000681459 1.2244
30000.0 5.25 1.0331 -1.0802 0.9343 -0.3287 0.000986195 1.3715
35000.0 5.25 1.003 -1.1514 0.9816 -0.3389 0.00133139 1.4724
40000.0 5.25 1.0217 -1.3104 1.1638 -0.4097 0.00160623 1.5457
45000.0 5.25 1.0806 -1.5233 1.3974 -0.4983 0.00183948 1.6014
50000.0 5.25 1.1511 -1.7362 1.6227 -0.582 0.00205697 1.6449
55000.0 5.25 1.2207 -1.9253 1.8167 -0.6527 0.00226053 1.68
60000.0 5.25 1.2846 -2.0857 1.9765 -0.7099 0.00245958 1.7088
3750.0 5.5 0.1545 2.0165 -2.4474 0.9392 6.76153e-07 -5.5604
4000.0 5.5 0.6993 0.694 -1.165 0.4903 9.71398e-07 -5.0264
4250.0 5.5 1.0485 -0.2037 -0.2381 0.1504 1.42129e-06 -4.5558
4500.0 5.5 1.2514 -0.6887 0.2707 -0.0383 2.08288e-06 -4.138
4750.0 5.5 1.2325 -0.6125 0.2183 -0.0223 3.01885e-06 -3.7647
5000.0 5.5 0.9027 0.2199 -0.5378 0.2393 4.40591e-06 -3.4295
5250.0 5.5 0.5225 1.1585 -1.3939 0.5286 6.10808e-06 -3.1269
5500.0 5.5 0.1193 2.1419 -2.2971 0.8279 8.14777e-06 -2.8526
5750.0 5.5 -0.171 2.7842 -2.8319 0.9862 1.05283e-05 -2.6029
6000.0 5.5 -0.3207 3.0145 -2.9215 0.9779 1.32848e-05 -2.3747
6250.0 5.5 -0.3693 2.955 -2.7003 0.8543 1.64549e-05 -2.1656
6500.0 5.5 -0.3686 2.7712 -2.3574 0.6882 2.00715e-05 -1.9734
7000.0 5.5 -0.2863 2.2791 -1.616 0.3515 2.87838e-05 -1.6323
7500.0 5.5 -0.2541 2.1414 -1.4123 0.2459 3.96919e-05 -1.3395
8000.0 5.5 -0.3284 2.5321 -1.9559 0.4582 5.30703e-05 -1.0858
8500.0 5.5 -0.3803 3.06 -2.8289 0.845 6.90539e-05 -0.8645
9000.0 5.5 -0.2188 2.9544 -3.0329 0.9997 8.75291e-05 -0.6699
9500.0 5.5 0.0703 2.1636 -2.2869 0.7708 0.000107769 -0.4977
10000.0 5.5 0.3902 1.0177 -0.9808 0.3113 0.000126682 -0.3446
10500.0 5.5 0.5214 0.6202 -0.5447 0.1467 0.000143555 -0.2076
11000.0 5.5 0.6004 0.4545 -0.433 0.1186 0.000159595 -0.0845
11500.0 5.5 0.6572 0.3195 -0.333 0.0904 0.000175338 0.0267
12000.0 5.5 0.6919 0.2248 -0.2597 0.0684 0.000190802 0.1274
12500.0 5.5 0.7105 0.1645 -0.2155 0.0559 0.00020611 0.219
13000.0 5.5 0.7203 0.1226 -0.1855 0.0477 0.000221407 0.3027
13500.0 5.5 0.7264 0.0889 -0.1616 0.0414 0.000236721 0.3794
14000.0 5.5 0.7281 0.0641 -0.1437 0.0366 0.000252255 0.4499
14500.0 5.5 0.7293 0.0399 -0.1248 0.0312 0.000268002 0.5149
15000.0 5.5 0.7294 0.0184 -0.1076 0.0262 0.000283978 0.5749
15500.0 5.5 0.7296 -0.0029 -0.0896 0.0208 0.000300239 0.6305
16000.0 5.5 0.7211 -0.0025 -0.0938 0.0236 0.000316776 0.6822
16500.0 5.5 0.7307 -0.0471 -0.0498 0.008 0.000333585 0.7304
17000.0 5.5 0.7317 -0.0695 -0.0289 0.0012 0.000350735 0.7753
20000.0 5.5 0.7545 -0.2391 0.1409 -0.058 0.000460637 0.9917
25000.0 5.5 0.8915 -0.7054 0.6117 -0.2258 0.000678942 1.2244
30000.0 5.5 1.0219 -1.0791 0.9374 -0.3303 0.000979279 1.3715
35000.0 5.5 0.949 -1.0579 0.8954 -0.3085 0.00131983 1.4724
40000.0 5.5 0.9325 -1.1478 1.0134 -0.357 0.00159121 1.5457
45000.0 5.5 0.9687 -1.3217 1.2133 -0.4344 0.0018199 1.6014
50000.0 5.5 1.0253 -1.5155 1.4248 -0.5142 0.00203174 1.6449
55000.0 5.5 1.0879 -1.7029 1.6226 -0.5874 0.0022278 1.68
60000.0 5.5 1.1509 -1.8756 1.8 -0.652 0.00241817 1.7088
3750.0 5.75 0.2369 1.8406 -2.2939 0.8905 7.03421e-07 -5.5604
4000.0 5.75 0.7909 0.475 -0.9489 0.4135 9.94957e-07 -5.0264
4250.0 5.75 1.1562 -0.4743 0.0378 0.0493 1.43923e-06 -4.5558
4500.0 5.75 1.3484 -0.9683 0.5684 -0.1503 2.0926e-06 -4.138
4750.0 5.75 1.3605 -0.9397 0.541 -0.139 3.01173e-06 -3.7647
5000.0 5.75 1.0691 -0.1833 -0.1653 0.1097 4.37242e-06 -3.4295
5250.0 5.75 0.7258 0.6687 -0.945 0.3767 6.06249e-06 -3.1269
5500.0 5.75 0.3126 1.6887 -1.8931 0.6967 8.10186e-06 -2.8526
5750.0 5.75 -0.0296 2.4903 -2.608 0.9253 1.0479e-05 -2.6029
6000.0 5.75 -0.2276 2.8714 -2.8712 0.9846 1.32136e-05 -2.3747
6250.0 5.75 -0.3235 2.9669 -2.8347 0.934 1.63394e-05 -2.1656
6500.0 5.75 -0.3494 2.8719 -2.5996 0.8109 1.98987e-05 -1.9734
7000.0 5.75 -0.3147 2.5085 -1.9943 0.5242 2.84254e-05 -1.6323
7500.0 5.75 -0.2805 2.3175 -1.6988 0.3772 3.9053e-05 -1.3395
8000.0 5.75 -0.3292 2.5751 -2.0553 0.5109 5.20096e-05 -1.0858
8500.0 5.75 -0.3822 3.046 -2.8181 0.8443 6.74564e-05 -0.8645
9000.0 5.75 -0.2552 3.0503 -3.1434 1.0419 8.53458e-05 -0.6699
9500.0 5.75 -0.0117 2.4947 -2.7087 0.9305 0.000104809 -0.4977
10000.0 5.75 0.2718 1.5124 -1.6214 0.5579 0.000123663 -0.3446
10500.0 5.75 0.5052 0.6714 -0.6245 0.1823 0.000141247 -0.2076
11000.0 5.75 0.5932 0.4506 -0.4264 0.1156 0.000157525 -0.0845
11500.0 5.75 0.6549 0.3083 -0.3207 0.0859 0.000173449 0.0267
12000.0 5.75 0.6954 0.202 -0.2367 0.0604 0.000189163 0.1274
12500.0 5.75 0.7174 0.1355 -0.1865 0.0456 0.000204666 0.219
13000.0 5.75 0.7298 0.0888 -0.1522 0.036 0.000220105 0.3027
