Teff log(g) a1 a2 a3 a4 I1 beaming
16500.0 5.25 0.7723 -0.6956 0.8171 -0.3255 0.000243563 0.376
17000.0 5.25 0.782 -0.7232 0.8409 -0.3342 0.000262717 0.4343
20000.0 5.25 0.7799 -0.7332 0.8199 -0.3233 0.000392284 0.7149
25000.0 5.25 0.9762 -1.1576 1.1769 -0.4406 0.000672279 1.0163
30000.0 5.25 1.0 -1.1187 1.0282 -0.3662 0.00109916 1.2061
35000.0 5.25 0.9089 -1.0352 0.9251 -0.3272 0.00162181 1.3358
40000.0 5.25 0.9531 -1.2569 1.172 -0.4226 0.00203771 1.4297
45000.0 5.25 1.0362 -1.5181 1.4485 -0.5258 0.00239011 1.5007
50000.0 5.25 1.1253 -1.7633 1.7002 -0.618 0.00271857 1.5561
55000.0 5.25 1.2069 -1.9681 1.9039 -0.6911 0.00302619 1.6006
60000.0 5.25 1.2798 -2.1374 2.0673 -0.7486 0.00332701 1.6371
3750.0 5.5 -0.7026 3.51 -3.3329 1.1121 2.06784e-07 -7.4788
4000.0 5.5 -0.4065 3.2131 -3.4004 1.2282 3.30042e-07 -6.8241
4250.0 5.5 -0.0023 2.3802 -2.6958 1.0092 5.33595e-07 -6.2466
4500.0 5.5 0.3388 1.5971 -1.9197 0.7332 8.59645e-07 -5.7335
4750.0 5.5 0.4846 1.2523 -1.5354 0.5903 1.36506e-06 -5.2746
5000.0 5.5 0.1853 1.8958 -1.9848 0.7209 2.07396e-06 -4.8619
5250.0 5.5 0.0255 2.264 -2.2564 0.7956 3.23326e-06 -4.4888
5500.0 5.5 -0.1816 2.8083 -2.7521 0.952 4.66877e-06 -4.15
5750.0 5.5 -0.3614 3.2725 -3.1751 1.0811 6.37362e-06 -3.8411
6000.0 5.5 -0.475 3.5188 -3.3555 1.1176 8.34453e-06 -3.5584
6250.0 5.5 -0.5219 3.5461 -3.2896 1.0607 1.05634e-05 -3.2988
6500.0 5.5 -0.5188 3.4166 -3.0541 0.942 1.29924e-05 -3.0596
7000.0 5.5 -0.3444 2.6714 -2.0937 0.5392 1.83064e-05 -2.634
7500.0 5.5 -0.0546 1.6676 -0.9728 0.1207 2.39523e-05 -2.2672
8000.0 5.5 0.1914 0.8841 -0.2182 -0.1187 2.98121e-05 -1.9482
8500.0 5.5 0.3731 0.3608 0.1881 -0.2127 3.61283e-05 -1.6687
9000.0 5.5 0.5854 -0.1856 0.5833 -0.2977 4.31285e-05 -1.4222
9500.0 5.5 0.7889 -0.6901 0.9557 -0.3866 5.0519e-05 -1.2034
10000.0 5.5 0.873 -0.8782 1.0518 -0.3976 5.70872e-05 -1.0082
10500.0 5.5 0.8671 -0.8958 1.0718 -0.4064 6.53141e-05 -0.8331
11000.0 5.5 0.8609 -0.8981 1.0781 -0.4115 7.54104e-05 -0.6755
11500.0 5.5 0.8494 -0.8809 1.0635 -0.4095 8.67338e-05 -0.5328
12000.0 5.5 0.8384 -0.8577 1.0387 -0.4032 9.90832e-05 -0.4033
12500.0 5.5 0.8232 -0.8209 0.9958 -0.3889 0.000112275 -0.2852
13000.0 5.5 0.8114 -0.7934 0.9621 -0.3778 0.000126175 -0.1773
13500.0 5.5 0.8086 -0.7871 0.9487 -0.3732 0.000140688 -0.0783
14000.0 5.5 0.795 -0.7581 0.9133 -0.3605 0.000155862 0.0128
14500.0 5.5 0.7891 -0.7483 0.8982 -0.3553 0.000171662 0.0969
15000.0 5.5 0.7825 -0.7369 0.8815 -0.3492 0.000188094 0.1746
15500.0 5.5 0.7766 -0.7274 0.867 -0.344 0.000205179 0.2467
16000.0 5.5 0.7215 -0.6004 0.7325 -0.2945 0.000222937 0.3137
16500.0 5.5 0.767 -0.713 0.8434 -0.3354 0.000241304 0.376
17000.0 5.5 0.7649 -0.7115 0.8372 -0.3331 0.000260378 0.4343
20000.0 5.5 0.8003 -0.809 0.9061 -0.3556 0.000389202 0.7149
25000.0 5.5 0.9754 -1.1791 1.2058 -0.4517 0.000667363 1.0163
30000.0 5.5 0.9744 -1.0836 1.0009 -0.3571 0.00108757 1.2061
35000.0 5.5 0.837 -0.8972 0.7977 -0.2825 0.00160282 1.3358
40000.0 5.5 0.844 -1.0445 0.9739 -0.3529 0.00201391 1.4297
45000.0 5.5 0.9046 -1.2682 1.2189 -0.4461 0.00235966 1.5007
50000.0 5.5 0.9798 -1.4952 1.4575 -0.5346 0.00268001 1.5561
55000.0 5.5 1.056 -1.7031 1.67 -0.6121 0.00297666 1.6006
60000.0 5.5 1.1283 -1.8865 1.8529 -0.6778 0.00326472 1.6371
3750.0 5.75 -0.717 3.6669 -3.5871 1.2273 2.19217e-07 -7.4788
4000.0 5.75 -0.3258 3.0902 -3.3365 1.2205 3.41918e-07 -6.8241
