Teff log(g) a1 a2 a3 a4 I1 beaming
16500.0 5.25 0.629 -0.5789 0.5744 -0.2224 0.000146962 1.3563
17000.0 5.25 0.6405 -0.6192 0.6151 -0.2371 0.000153012 1.3779
20000.0 5.25 0.6677 -0.7454 0.7391 -0.2803 0.000191008 1.4826
25000.0 5.25 0.8573 -1.1982 1.1578 -0.423 0.000262962 1.5966
30000.0 5.25 0.8643 -1.1554 1.0461 -0.3675 0.000361912 1.6697
35000.0 5.25 0.7542 -1.0546 0.9766 -0.3496 0.000481692 1.7205
40000.0 5.25 0.808 -1.3072 1.2679 -0.4626 0.000575293 1.7578
45000.0 5.25 0.8969 -1.5834 1.5617 -0.5718 0.000653388 1.7864
50000.0 5.25 0.9887 -1.8353 1.8196 -0.6655 0.000725541 1.8089
55000.0 5.25 1.0726 -2.0478 2.031 -0.7412 0.000792427 1.8272
60000.0 5.25 1.1477 -2.226 2.2035 -0.8018 0.000857195 1.8423
3750.0 5.5 1.8316 -2.6533 2.2613 -0.7609 3.74113e-06 -1.8463
4000.0 5.5 1.7317 -2.5306 2.182 -0.7408 4.60889e-06 -1.5565
4250.0 5.5 1.6983 -2.4841 2.1529 -0.7339 5.72846e-06 -1.3031
4500.0 5.5 1.6404 -2.2666 1.8998 -0.6332 7.13058e-06 -1.0799
4750.0 5.5 1.4493 -1.7016 1.2946 -0.4042 8.81747e-06 -0.882
5000.0 5.5 1.0871 -0.6992 0.2669 -0.0269 1.09001e-05 -0.7057
5250.0 5.5 0.6159 0.5104 -0.9148 0.3896 1.297e-05 -0.5478
5500.0 5.5 0.1688 1.5613 -1.8716 0.7048 1.51866e-05 -0.4058
5750.0 5.5 -0.0895 2.0496 -2.2097 0.7836 1.75438e-05 -0.2774
6000.0 5.5 -0.1699 2.0547 -2.0496 0.6828 2.00284e-05 -0.1609
6250.0 5.5 -0.1534 1.8248 -1.6733 0.5123 2.26449e-05 -0.0548
6500.0 5.5 -0.1027 1.5346 -1.263 0.3375 2.53942e-05 0.0422
7000.0 5.5 0.0314 0.9758 -0.5517 0.0489 3.13518e-05 0.2127
7500.0 5.5 0.1225 0.6593 -0.1821 -0.098 3.80107e-05 0.3578
8000.0 5.5 0.1488 0.6133 -0.1602 -0.1072 4.53748e-05 0.4823
8500.0 5.5 0.1623 0.6872 -0.3343 -0.0267 5.33106e-05 0.5904
9000.0 5.5 0.2739 0.4895 -0.2465 -0.0282 6.13452e-05 0.6848
9500.0 5.5 0.4618 -0.0086 0.1914 -0.155 6.82045e-05 0.7679
10000.0 5.5 0.572 -0.2889 0.3782 -0.1795 7.29392e-05 0.8416
10500.0 5.5 0.5809 -0.298 0.3445 -0.152 7.82579e-05 0.9074
11000.0 5.5 0.5912 -0.315 0.3387 -0.1454 8.38773e-05 0.9663
11500.0 5.5 0.5984 -0.3335 0.339 -0.1415 8.94772e-05 1.0195
12000.0 5.5 0.6071 -0.3681 0.3638 -0.1478 9.50541e-05 1.0677
12500.0 5.5 0.6104 -0.3955 0.3873 -0.1551 0.000100673 1.1114
13000.0 5.5 0.6111 -0.4181 0.4089 -0.1624 0.000106334 1.1514
13500.0 5.5 0.6146 -0.4474 0.4391 -0.1734 0.000111985 1.1881
14000.0 5.5 0.6117 -0.4606 0.453 -0.1785 0.000117709 1.2218
14500.0 5.5 0.612 -0.4799 0.473 -0.1856 0.000123474 1.2529
15000.0 5.5 0.6121 -0.4977 0.4914 -0.1922 0.00012928 1.2816
15500.0 5.5 0.6124 -0.5152 0.5099 -0.199 0.000135145 1.3083
16000.0 5.5 0.5827 -0.4619 0.4567 -0.1794 0.000141074 1.3331
16500.0 5.5 0.6148 -0.5503 0.5459 -0.2118 0.000147036 1.3563
17000.0 5.5 0.6178 -0.5706 0.5662 -0.219 0.00015309 1.3779
20000.0 5.5 0.6714 -0.7601 0.7548 -0.2861 0.000190955 1.4826
25000.0 5.5 0.8397 -1.1686 1.1313 -0.4138 0.00026254 1.5966
30000.0 5.5 0.82 -1.0672 0.9607 -0.3368 0.00036002 1.6697
35000.0 5.5 0.6686 -0.8716 0.796 -0.2842 0.000477922 1.7205
40000.0 5.5 0.6889 -1.0538 1.0198 -0.3732 0.000570452 1.7578
45000.0 5.5 0.7563 -1.2896 1.277 -0.4698 0.000647235 1.7864
50000.0 5.5 0.8329 -1.5157 1.513 -0.5565 0.000717784 1.8089
55000.0 5.5 0.906 -1.7123 1.7116 -0.6281 0.000782685 1.8272
60000.0 5.5 0.975 -1.8866 1.8842 -0.6897 0.00084524 1.8423
3750.0 5.75 1.8853 -2.7666 2.3746 -0.8023 3.80465e-06 -1.8463
4000.0 5.75 1.7509 -2.5715 2.2237 -0.7563 4.65942e-06 -1.5565
4250.0 5.75 1.7053 -2.5034 2.1731 -0.7415 5.76149e-06 -1.3031
4500.0 5.75 1.7298 -2.5506 2.2259 -0.7618 7.14597e-06 -1.0799
4750.0 5.75 1.4976 -1.8491 1.4504 -0.4627 8.81123e-06 -0.882
5000.0 5.75 1.2014 -1.0137 0.5814 -0.1404 1.09213e-05 -0.7057
5250.0 5.75 0.7808 0.089 -0.5112 0.25 1.29806e-05 -0.5478
5500.0 5.75 0.3182 1.2162 -1.5726 0.6113 1.51951e-05 -0.4058
