Teff log(g) a1 a2 a3 a4 I1 beaming
17000.0 5.25 0.6677 -0.238 0.2005 -0.089 0.000262823 1.0532
20000.0 5.25 0.696 -0.4024 0.3637 -0.146 0.000336572 1.2175
25000.0 5.25 0.8853 -0.9427 0.894 -0.333 0.000479932 1.3949
30000.0 5.25 0.9918 -1.1884 1.0671 -0.3778 0.000677851 1.5076
35000.0 5.25 0.9116 -1.1357 1.0052 -0.3529 0.000906884 1.5853
40000.0 5.25 0.9386 -1.323 1.2254 -0.4393 0.00108698 1.642
45000.0 5.25 1.0114 -1.5713 1.4965 -0.5417 0.00123842 1.6852
50000.0 5.25 1.0936 -1.8104 1.7465 -0.6338 0.00137893 1.7191
55000.0 5.25 1.1736 -2.0225 1.9622 -0.712 0.0015099 1.7464
60000.0 5.25 1.2466 -2.2022 2.1392 -0.7749 0.00163746 1.769
3750.0 5.5 1.1117 -0.3922 -0.1367 0.1332 1.6039e-06 -3.9058
4000.0 5.5 1.453 -1.3558 0.8964 -0.2553 2.14612e-06 -3.4777
4250.0 5.5 1.6045 -1.7981 1.3863 -0.4431 2.91973e-06 -3.101
4500.0 5.5 1.6519 -1.8763 1.4619 -0.4692 3.97972e-06 -2.7674
4750.0 5.5 1.5121 -1.4679 1.0424 -0.3134 5.37106e-06 -2.47
5000.0 5.5 1.1371 -0.4697 0.0626 0.0393 7.30855e-06 -2.2036
5250.0 5.5 0.6554 0.7475 -1.1 0.444 9.40673e-06 -1.9637
5500.0 5.5 0.1797 1.8843 -2.1438 0.7907 1.18021e-05 -1.7467
5750.0 5.5 -0.1269 2.5155 -2.6347 0.9259 1.44805e-05 -1.5498
6000.0 5.5 -0.2555 2.6492 -2.6016 0.8687 1.74531e-05 -1.3704
6250.0 5.5 -0.2723 2.4861 -2.2688 0.7059 2.07386e-05 -1.2063
6500.0 5.5 -0.2405 2.2128 -1.8403 0.5135 2.43565e-05 -1.0559
7000.0 5.5 -0.1112 1.5984 -0.9995 0.156 3.2711e-05 -0.7899
7500.0 5.5 -0.0396 1.3193 -0.6362 -0.0029 4.27955e-05 -0.5626
8000.0 5.5 -0.0791 1.5152 -0.8941 0.0885 5.48374e-05 -0.3665
8500.0 5.5 -0.1438 1.9489 -1.5466 0.3628 6.87818e-05 -0.1959
9000.0 5.5 -0.0532 1.9535 -1.7787 0.5024 8.40925e-05 -0.0465
9500.0 5.5 0.1799 1.3355 -1.2139 0.3333 9.91634e-05 0.0854
10000.0 5.5 0.4267 0.5551 -0.4251 0.0899 0.000111266 0.2025
10500.0 5.5 0.5173 0.3096 -0.1942 0.0154 0.000122599 0.3069
11000.0 5.5 0.5646 0.2323 -0.1775 0.0226 0.000133338 0.4007
11500.0 5.5 0.6042 0.1442 -0.1293 0.015 0.000143801 0.4852
12000.0 5.5 0.6326 0.0606 -0.0655 -0.0029 0.000154158 0.5618
12500.0 5.5 0.6469 0.0035 -0.0191 -0.0168 0.000164552 0.6314
13000.0 5.5 0.6534 -0.037 0.0153 -0.0276 0.000175042 0.6949
13500.0 5.5 0.6574 -0.0704 0.0445 -0.0369 0.000185586 0.753
14000.0 5.5 0.6561 -0.0906 0.0614 -0.042 0.0001963 0.8065
14500.0 5.5 0.6565 -0.1147 0.0835 -0.0493 0.000207147 0.8557
15000.0 5.5 0.6559 -0.135 0.102 -0.0554 0.000218125 0.9012
15500.0 5.5 0.6558 -0.1558 0.1218 -0.0621 0.000229262 0.9434
16000.0 5.5 0.64 -0.1368 0.0994 -0.0528 0.000240553 0.9826
16500.0 5.5 0.6568 -0.1972 0.1608 -0.0751 0.000251983 1.0191
17000.0 5.5 0.6586 -0.2203 0.1833 -0.0828 0.000263603 1.0532
20000.0 5.5 0.696 -0.409 0.3721 -0.1494 0.000337173 1.2175
25000.0 5.5 0.8712 -0.921 0.8744 -0.3263 0.000479853 1.3949
30000.0 5.5 0.9614 -1.1363 1.0192 -0.361 0.000674874 1.5076
35000.0 5.5 0.8382 -0.9883 0.8634 -0.3021 0.000900433 1.5853
40000.0 5.5 0.8288 -1.1017 1.0135 -0.3639 0.0010782 1.642
45000.0 5.5 0.878 -1.3075 1.2469 -0.4535 0.00122671 1.6852
50000.0 5.5 0.945 -1.5238 1.479 -0.5401 0.00136372 1.7191
55000.0 5.5 1.0154 -1.7265 1.69 -0.6175 0.00149013 1.7464
60000.0 5.5 1.0841 -1.9093 1.8748 -0.6841 0.00161254 1.769
3750.0 5.75 1.1732 -0.5534 0.0337 0.0698 1.65117e-06 -3.9058
4000.0 5.75 1.4999 -1.4789 1.0281 -0.3049 2.18435e-06 -3.4777
4250.0 5.75 1.6483 -1.9168 1.5125 -0.4907 2.9464e-06 -3.101
4500.0 5.75 1.7307 -2.1312 1.7517 -0.5827 3.99254e-06 -2.7674
4750.0 5.75 1.5878 -1.6805 1.2591 -0.3933 5.36283e-06 -2.47
5000.0 5.75 1.2766 -0.833 0.4123 -0.0849 7.30784e-06 -2.2036
5250.0 5.75 0.8456 0.2732 -0.6553 0.2918 9.39096e-06 -1.9637
