Teff log(g) filter a1 a2 a3 a4
2300 3.5 U 0.9445445957928927 -0.7446477628682018 1.6471307506784105 -0.6780519357524893
2300 4.0 U -0.3323742862949091 1.5181793658471232 -0.16503143593835012 -0.07022275255742907
2300 4.5 U -0.59972605907843 1.7093131932140184 -0.19713291603276686 -0.017663116078474372
2300 5.0 U -0.467595606300003 1.329949908983715 0.07757563041677051 -0.0353234938755281
2300 5.5 U -0.2701549770364855 1.1656235270011472 -0.01937369422241053 0.051997760121023084
2300 6.0 U -0.08557603133875458 1.1057928522727571 -0.15913537165195216 0.09255179876603381
2400 3.5 U 2.158501894841379 -2.8742862893155414 3.2712288948664403 -1.1847901907960703
2400 4.0 U 0.18009291381053322 0.9565439438042446 0.035018377277536025 -0.12428847672684455
2400 4.5 U -0.42479678456521935 1.7744904167050237 -0.45374088865616163 0.04769418910515565
2400 5.0 U -0.5123774106195313 1.5944482249713392 -0.17044921796140167 0.004062242025323348
2400 5.5 U -0.2774169461777967 1.0667372962029371 0.18842309628205792 -0.039309429167058124
2400 6.0 U -0.11317358734825068 1.0499733821465154 -0.07604792980347827 0.09623896202094938
2500 3.5 U 3.6092449642590116 -5.692320661389051 5.621135574505181 -1.9423154984511424
2500 4.0 U 1.094913674126429 -0.596237688634685 1.1623338296289125 -0.47333677184337436
2500 4.5 U -0.004723194057300484 1.3200803862615402 -0.30079882398152225 0.0012707620361819272
2500 5.0 U -0.37830919262455825 1.6369170110860591 -0.33377922888244604 0.0263439790840427
2500 5.5 U -0.28439960742143067 1.1214415349477969 0.194729675770546 -0.0830295154813302
2500 6.0 U -0.0573774683877649 0.7653089464017813 0.32028532090222356 -0.05865982900798581
2600 3.5 U 5.268607057226458 -9.070728132297193 8.55702435064632 -2.9024150562414475
2600 4.0 U 2.223527901627886 -2.741063098310841 2.8967478934109945 -1.027219440307198
2600 4.5 U 0.5883823354258876 0.4364149776574573 0.2415109470224245 -0.16282309813331033
2600 5.0 U -0.07553438125479311 1.3802718872761734 -0.32475759107706786 0.019391445567927355
2600 5.5 U -0.15933695487411675 1.1624088816986622 0.03966682162164646 -0.06459318192459491
2600 6.0 U -0.04473742526575005 0.7870609865306197 0.32870551474229487 -0.08908800999225042
2700 3.5 U 6.7488500698900715 -12.15587422161591 11.292332247788524 -3.804447666606046
2700 4.0 U 3.386686781616597 -5.0897141200669545 4.898098395856445 -1.6782962868392166
2700 4.5 U 1.4246615860137097 -1.0725258484626956 1.383545228998428 -0.51850314350578
