Teff log(g) filter a1 a2 a3 a4
2300 3.5 V 3.960139172501504 -8.216627870638488 8.762991398321798 -2.979395278658007
2300 4.0 V 2.969470145274409 -6.121155712393549 6.730229250617576 -2.2530817908368523
2300 4.5 V 2.498508670544154 -4.907487317877832 5.459102759401473 -1.816657036903645
2300 5.0 V 1.7631034459772883 -3.1610573904951664 3.758265824332779 -1.2416968624428761
2300 5.5 V 2.1385084681135953 -3.5790505989066834 3.817750301837135 -1.2343497588773582
2300 6.0 V 1.8373984002863382 -2.884882256090344 3.144099384668105 -1.0075302706382097
2400 3.5 V 1.9241818228768302 -3.394918895347743 4.207294216053394 -1.4531461414279183
2400 4.0 V 1.8498685943874125 -3.5929502594885374 4.468353156102782 -1.5134183780483486
2400 4.5 V 1.8310689765371178 -3.6273711781741493 4.414852371966182 -1.452031262029739
2400 5.0 V 1.4728493328047167 -2.744574798001208 3.5261722276478773 -1.1562243428863286
2400 5.5 V 1.2408338242017116 -1.910548324548302 2.541379357798509 -0.809204349929048
2400 6.0 V 1.3463430799841996 -2.028325804343258 2.5152970483556634 -0.7833010054723368
2500 3.5 V 1.6270146385539432 -2.346411805720004 3.0841170005885026 -1.0932739484015854
2500 4.0 V 1.2109517976127244 -1.837623201431443 2.749672791977781 -0.9555673980674575
2500 4.5 V 1.0546306330929092 -1.6676366356030041 2.5432454884811597 -0.8208045224771268
2500 5.0 V 1.2107562541917907 -2.273741221673521 3.1037719473843697 -0.9568685696782102
2500 5.5 V 1.0775742644178432 -1.8241896627620262 2.5335975151677634 -0.7418480806421643
2500 6.0 V 1.2620223470963217 -2.1296236811374682 2.7982374547673157 -0.8749299434312177
2600 3.5 V 2.035170908756226 -2.771049242941702 3.222321050063136 -1.13097263795301
2600 4.0 V 0.9335828461082532 -0.84211994384111 1.6796847325383368 -0.6196607082863805
2600 4.5 V 0.6477164018037858 -0.6828411734463878 1.729767481352615 -0.6159965068101354
2600 5.0 V 0.6601473026379612 -0.970017536626081 1.9922843832348376 -0.6324364217891248
