Teff log(g) filter a1 a2 a3 a4
2300 3.5 I 3.519212179056711 -6.101438770345444 6.364840350601325 -2.2675833880867806
2300 4.0 I 2.2374781119816767 -3.4771269029535734 3.997536278326525 -1.473986014078781
2300 4.5 I 1.8544653777884095 -2.6844300492972843 3.254216124078745 -1.225545258551862
2300 5.0 I 1.4186474737977033 -1.720093983855772 2.31146031400887 -0.8943655069248575
2300 5.5 I 1.5630683566021533 -1.951918180679871 2.3716059794525943 -0.8833409054374863
2300 6.0 I 1.2728662607445806 -1.248653338030355 1.6678175746043855 -0.6430251990843875
2400 3.5 I 3.118869212047825 -4.739492786515372 4.818397430059291 -1.7094069471642601
2400 4.0 I 1.6376222670877558 -1.883046356944102 2.3961279836276965 -0.9310383806775248
2400 4.5 I 1.210496151197948 -1.099764428201473 1.7461475154638064 -0.7226735688173952
2400 5.0 I 0.9137403521354189 -0.4067392735400613 1.053193785461672 -0.4858835056668664
2400 5.5 I 0.9288055833484825 -0.4483754960917229 1.0428152764383989 -0.47101422280577876
2400 6.0 I 0.9593474157171544 -0.4878039549974911 1.0116965459631422 -0.45083252583206995
2500 3.5 I 3.900036211585639 -6.007076695295161 5.67675480135919 -1.9515385269669425
2500 4.0 I 1.7461978039124266 -1.6763707381012838 1.918331093800322 -0.7337796164919194
2500 4.5 I 1.0853266288357508 -0.5431128323345786 1.0749743309013058 -0.4831602856973267
2500 5.0 I 0.6708415406629334 0.1425464579678949 0.5754818364633352 -0.33349390145219737
2500 5.5 I 0.5251444325123171 0.6230526399161409 -0.0029678235154784183 -0.12287969116799768
2500 6.0 I 0.6187344231365246 0.4119526920295011 0.14532674752582306 -0.16500566206144215
2600 3.5 I 6.07635713235777 -10.518712429230202 9.638724289370929 -3.251847498212294
2600 4.0 I 2.6797378941469856 -3.3338106121688673 3.1468871270189416 -1.098204499832606
2600 4.5 I 1.2147301737360319 -0.3856410615475321 0.6244915520343491 -0.2884459742191526
2600 5.0 I 0.5883112144163805 0.7040507818282248 -0.1807216747769314 -0.05178972936768339
2600 5.5 I 0.4184496368521607 0.8649612079198326 -0.19844692415045992 -0.06570394123087757
2600 6.0 I 0.3570400717634571 0.8179171625379821 -0.04388607560539959 -0.138190046614169
2700 3.5 I 8.715012103786384 -16.30783339067005 14.96298050545697 -5.046073890886114
2700 4.0 I 4.272763703840175 -6.683609694506104 6.086544713716202 -2.0632040898436648
2700 4.5 I 2.1980787747439776 -2.2386364640656904 2.062679001441479 -0.7250094084669071
2700 5.0 I 0.9159698544408772 0.3828212978405452 -0.18756377733673935 -0.0024898314665700028
2700 5.5 I 0.43536616480609636 1.1954092386571402 -0.7485354199780427 0.15102795464180957
2700 6.0 I 0.2953483235155189 1.3237509417994386 -0.7413729028363901 0.12499638577676171
2800 3.5 I 11.118756485481024 -21.61564471861867 19.883838092424096 -6.709779419677443
2800 4.0 I 6.058844587454052 -10.60824883375236 9.663780635524219 -3.2624106250446543
2800 4.5 I 3.538362330599551 -5.096498858944089 4.570074368334837 -1.5467549035520463
2800 5.0 I 1.8443178941739584 -1.4693081989140777 1.3106264246910997 -0.46833799084055583
2800 5.5 I 0.9296211915527904 0.41228349800677894 -0.30252447229912993 0.0486915559883895
2900 3.5 I 12.482213673706239 -24.704113716757085 22.80017983244629 -7.707885792530923
2900 4.0 I 7.1395972536605745 -13.106224505140236 12.00981311620802 -4.065253117815386
2900 4.5 I 4.453466080000865 -7.148389645787631 6.415064490343928 -2.1606850321673834
2900 5.0 I 2.772864325677582 -3.4599571748424283 3.01997136930977 -1.0199982206262566
2900 5.5 I 1.6520813826897087 -1.044223884628467 0.873513957415765 -0.3174064374599184
2900 6.0 I 0.8491406265221219 0.624367456438553 -0.5336816294592261 0.12356775613303879
3000 3.5 I 12.024967644242027 -23.8320218790765 22.055299028511655 -7.471663827258289
3000 4.0 I 7.745770476985776 -14.586901051177172 13.446426757112016 -4.568164252018523
3000 4.5 I 5.289407509143134 -9.07983069165411 8.205579532534031 -2.7681594885002374
