Teff log(g) a1 a2 a3 a4
9000.0 3.0 -10.8169 40.1881 -49.0293 19.8408
9000.0 3.5 -6.4753 29.1934 -38.2668 16.1864
9000.0 4.0 -0.9705 13.5326 -21.059 9.6552
9000.0 4.5 4.2178 -2.2924 -2.7009 2.3776
9000.0 5.0 7.731 -13.7406 11.1278 -3.2588
9000.0 5.5 9.8452 -21.7328 21.4929 -7.6682
9000.0 6.0 9.9486 -23.2348 24.0665 -8.9211
9200.0 2.5 -12.8257 41.8791 -46.8799 17.7101
9200.0 3.0 -11.0684 40.7866 -49.5634 20.0003
9200.0 3.5 -6.9691 30.5969 -39.7984 16.7605
9200.0 4.0 -1.2576 14.4624 -22.1765 10.106
9200.0 4.5 3.8426 -1.0108 -4.2925 3.0349
9200.0 5.0 7.8113 -13.8603 11.1738 -3.2559
9200.0 5.5 10.0015 -22.0693 21.7746 -7.7546
9200.0 6.0 10.1106 -23.6465 24.4627 -9.0548
9400.0 2.5 -12.7709 41.3177 -45.8458 17.1778
9400.0 3.0 -11.3726 41.4798 -50.1463 20.1599
9400.0 3.5 -7.4698 31.9945 -41.3001 17.3164
9400.0 4.0 -1.3633 14.8198 -22.6145 10.2839
9400.0 4.5 3.1073 1.3805 -7.1822 4.211
9400.0 5.0 7.9068 -14.0348 11.2916 -3.2839
9400.0 5.5 10.1087 -22.2746 21.9187 -7.7894
9400.0 6.0 10.3231 -24.136 24.8884 -9.185
9600.0 2.5 -12.6925 40.6965 -44.7518 16.6244
9600.0 3.0 -11.6644 42.1387 -50.6907 20.3044
9600.0 3.5 -7.7508 32.7758 -42.1341 17.6225
9600.0 4.0 -1.4599 15.1311 -22.9849 10.4312
9600.0 4.5 2.6763 2.7664 -8.8439 4.8834
9600.0 5.0 7.936 -14.0435 11.2419 -3.2504
9600.0 5.5 10.1378 -22.1892 21.6945 -7.6698
9600.0 6.0 10.4213 -24.3754 25.1062 -9.2529
9800.0 2.5 -12.6041 40.0887 -43.7125 16.1044
9800.0 3.0 -11.8324 42.4999 -50.9628 20.3638
9800.0 3.5 -7.9029 33.1903 -42.5646 17.7754
9800.0 4.0 -1.8476 16.2928 -24.3104 10.9478
9800.0 4.5 2.623 2.9904 -9.149 5.0148
9800.0 5.0 7.9368 -13.9753 11.1103 -3.1858
9800.0 5.5 9.927 -21.0797 20.0822 -6.9459
9800.0 6.0 10.5422 -24.6548 25.3595 -9.337
10000.0 2.5 -12.5185 39.534 -42.7758 15.6376
10000.0 3.0 -11.9927 42.8464 -51.2243 20.4205
10000.0 3.5 -8.0724 33.6532 -43.0463 17.9469
10000.0 4.0 -2.2003 17.3459 -25.5082 11.4133
10000.0 4.5 2.5583 3.215 -9.4275 5.1286
10000.0 5.0 7.661 -12.9992 9.8778 -2.6708
10000.0 5.5 9.8098 -20.4562 19.1724 -6.5366
10000.0 6.0 10.6379 -24.8742 25.5568 -9.4018
10200.0 2.5 -12.4333 39.0031 -41.8866 15.1955
10200.0 3.0 -12.2134 43.3249 -51.5889 20.5018
10200.0 3.5 -8.4136 34.5768 -44.0068 18.2907
10200.0 4.0 -2.6193 18.5909 -26.9203 11.9613
10200.0 4.5 2.5213 3.3469 -9.5918 5.1951
10200.0 5.0 7.2066 -11.4359 7.933 -1.8642
10200.0 5.5 9.7529 -20.122 18.6715 -6.3091
10200.0 6.0 10.7234 -25.0711 25.7374 -9.4633
10400.0 2.5 -12.3547 38.5172 -41.0719 14.7894
10400.0 3.0 -12.3892 43.7274 -51.9207 20.5871
10400.0 3.5 -8.7151 35.4027 -44.8736 18.6029
10400.0 4.0 -2.9158 19.4743 -27.9223 12.3494
10400.0 4.5 2.4832 3.4748 -9.7455 5.2559
10400.0 5.0 7.0284 -10.8093 7.1461 -1.5368
10400.0 5.5 9.743 -20.0126 18.489 -6.2233
10400.0 6.0 10.8 -25.2455 25.8987 -9.5194
10600.0 2.5 -12.3143 38.2303 -40.5676 14.5313
10600.0 3.0 -12.5163 44.0457 -52.2136 20.6752
10600.0 3.5 -8.9096 35.9521 -45.4628 18.8184
10600.0 4.0 -3.0255 19.8118 -28.3097 12.4994
10600.0 4.5 2.4426 3.6084 -9.9038 5.318
10600.0 5.0 6.8179 -10.0851 6.2467 -1.1649
10600.0 5.5 9.7514 -19.9966 18.4413 -6.198
10600.0 6.0 10.8421 -25.3293 25.9632 -9.5379
10800.0 2.5 -12.2962 38.0457 -40.2146 14.3433
10800.0 3.0 -12.6401 44.3694 -52.5265 20.7752
10800.0 3.5 -9.108 36.5213 -46.0819 19.0475
10800.0 4.0 -3.1642 20.2385 -28.8019 12.6911
10800.0 4.5 2.4074 3.7311 -10.0537 5.3777
10800.0 5.0 6.65 -9.5097 5.5342 -0.8711
10800.0 5.5 9.7514 -19.963 18.3795 -6.1686
10800.0 6.0 10.8736 -25.387 26.0026 -9.5477
11000.0 2.5 -12.2984 37.9609 -40.0141 14.2272
11000.0 3.0 -12.7956 44.758 -52.884 20.883
11000.0 3.5 -9.2896 37.0494 -46.6617 19.2634
11000.0 4.0 -3.2634 20.5522 -29.1691 12.8351
11000.0 4.5 2.3019 4.066 -10.4489 5.5343
11000.0 5.0 6.6376 -9.4516 5.4549 -0.8379
11000.0 5.5 9.7411 -19.9018 18.2883 -6.1283
11000.0 6.0 10.8963 -25.4234 26.0217 -9.5505
11200.0 2.5 -12.304 37.9003 -39.8547 14.1317
11200.0 3.0 -12.9801 45.1988 -53.268 20.9905
11200.0 3.5 -9.7345 38.2701 -47.9457 19.7271
11200.0 4.0 -3.9808 22.6663 -31.5539 13.7568
11200.0 4.5 1.3945 6.8738 -13.7367 6.8446
11200.0 5.0 6.5249 -9.0629 4.9726 -0.6393
11200.0 5.5 9.7453 -19.8931 18.2647 -6.1166
11200.0 6.0 10.8482 -25.264 25.8323 -9.4753
11400.0 2.5 -12.2743 37.693 -39.4877 13.9423
11400.0 3.0 -13.1581 45.6293 -53.6487 21.0993
11400.0 3.5 -9.4997 37.8029 -47.6145 19.656
11400.0 4.0 -4.3868 23.8931 -32.9603 14.3056
11400.0 4.5 0.7883 8.7628 -15.9575 7.7314
11400.0 5.0 6.4564 -8.8283 4.6832 -0.5212
11400.0 5.5 9.6828 -19.7132 18.0684 -6.0431
11400.0 6.0 10.8602 -25.2746 25.8273 -9.4699
11600.0 2.5 -12.2235 37.4071 -39.0163 13.7078
11600.0 3.0 -13.333 46.0379 -53.9931 21.1904
11600.0 3.5 -9.7314 38.487 -48.378 19.945
11600.0 4.0 -3.6003 21.753 -30.6884 13.4641
11600.0 4.5 0.68 9.1328 -16.414 7.9177
11600.0 5.0 6.6346 -9.2629 5.1011 -0.6652
11600.0 5.5 9.7308 -19.8031 18.1297 -6.0573
11600.0 6.0 10.8686 -25.2717 25.805 -9.4573
11800.0 2.5 -12.1617 37.0688 -38.469 13.439
11800.0 3.0 -13.4741 46.3714 -54.2781 21.2673
11800.0 3.5 -10.4807 40.4352 -50.3261 20.6167
11800.0 4.0 -3.9081 22.7127 -31.8131 13.9097
11800.0 4.5 0.631 9.3306 -16.678 8.0298
11800.0 5.0 6.6381 -9.227 5.0255 -0.6275
11800.0 5.5 9.6687 -19.6268 17.9394 -5.9867
11800.0 6.0 10.8842 -25.3001 25.8253 -9.4631
12000.0 2.5 -12.0932 36.7147 -37.9086 13.1671
12000.0 3.0 -13.6048 46.6977 -54.5779 21.3573
12000.0 3.5 -10.747 41.19 -51.1396 20.9156
12000.0 4.0 -4.1923 23.6073 -32.8688 14.33
12000.0 4.5 0.5953 9.4951 -16.9099 8.1309
12000.0 5.0 6.6564 -9.2336 4.9968 -0.6077
12000.0 5.5 9.6819 -19.6416 17.939 -5.9831
12000.0 6.0 10.8946 -25.2576 25.7266 -9.4122
