Teff log(g) a1 a2 a3 a4
3600.0 3.5 0.2251 6.3023 -10.0979 4.7482
3600.0 4.0 3.3002 -2.6752 0.1525 0.6603
3600.0 4.5 5.262 -8.6907 7.2063 -2.2004
3600.0 5.0 6.3469 -12.571 12.0914 -4.2612
3600.0 5.5 6.203 -12.9511 13.0329 -4.7715
3600.0 6.0 5.7359 -11.9328 12.0861 -4.4568
3700.0 2.5 -6.5482 24.5063 -29.4233 11.9797
3700.0 3.0 -2.8349 14.7598 -19.4724 8.4379
3700.0 3.5 0.3484 5.7185 -9.3477 4.4656
3700.0 4.0 3.3035 -2.859 0.4468 0.544
3700.0 4.5 5.2912 -8.8573 7.4406 -2.2957
3700.0 5.0 6.4027 -12.7518 12.3075 -4.347
3700.0 5.5 6.3449 -13.3661 13.4974 -4.9528
3700.0 6.0 5.9582 -12.5459 12.7464 -4.7087
3800.0 2.5 -6.4499 24.0735 -28.8181 11.7152
3800.0 3.0 -2.8123 14.5659 -19.1601 8.2965
3800.0 3.5 0.4076 5.2849 -8.7172 4.2096
3800.0 4.0 3.2519 -2.9989 0.7749 0.3973
3800.0 4.5 5.2294 -8.8181 7.4826 -2.3226
3800.0 5.0 6.4533 -12.9303 12.5254 -4.4328
3800.0 5.5 6.4372 -13.6417 13.8082 -5.0741
3800.0 6.0 6.1639 -13.1125 13.3545 -4.9392
3900.0 2.5 -6.3872 23.778 -28.3646 11.4982
3900.0 3.0 -2.7824 14.3925 -18.8762 8.1572
3900.0 3.5 0.5837 4.5978 -7.8635 3.8798
3900.0 4.0 3.3 -3.3398 1.2564 0.2092
3900.0 4.5 5.1878 -8.876 7.6489 -2.3961
3900.0 5.0 6.3802 -12.8018 12.4323 -4.4027
3900.0 5.5 6.5098 -13.8786 14.0846 -5.1821
3900.0 6.0 6.3318 -13.5865 13.8711 -5.1361
4000.0 2.5 -6.4083 23.8577 -28.4364 11.5099
4000.0 3.0 -2.7987 14.4065 -18.8339 8.115
4000.0 3.5 0.5268 4.7088 -7.9574 3.9132
4000.0 4.0 3.2732 -3.5154 1.5993 0.0613
4000.0 4.5 5.0686 -8.7456 7.6197 -2.3922
4000.0 5.0 6.3532 -12.847 12.5485 -4.4514
4000.0 5.5 6.5081 -13.9355 14.1813 -5.2226
4000.0 6.0 6.5255 -14.1688 14.5277 -5.3901
4100.0 2.5 -6.4509 24.0809 -28.7411 11.6325
4100.0 3.0 -2.826 14.532 -18.9821 8.1636
4100.0 3.5 0.5014 4.8137 -8.0717 3.9463
4100.0 4.0 3.3208 -3.8695 2.1231 -0.1558
4100.0 4.5 4.8754 -8.513 7.5607 -2.3955
4100.0 5.0 6.2364 -12.7235 12.5345 -4.4586
4100.0 5.5 6.4359 -13.8353 14.1314 -5.2092
4100.0 6.0 6.5763 -14.3557 14.7592 -5.4816
4200.0 2.5 -6.4864 24.3214 -29.1021 11.7884
4200.0 3.0 -2.7925 14.5389 -19.0517 8.1983
4200.0 3.5 0.5478 4.7573 -8.0486 3.939
4200.0 4.0 3.3826 -4.0973 2.3825 -0.2446
4200.0 4.5 4.9129 -8.821 8.0047 -2.569
4200.0 5.0 6.0763 -12.5264 12.4701 -4.4505
4200.0 5.5 6.4737 -14.1502 14.6034 -5.4074
4200.0 6.0 6.5933 -14.4846 14.9511 -5.561
4300.0 2.5 -6.5265 24.5696 -29.4674 11.945
4300.0 3.0 -2.7339 14.4817 -19.0589 8.2122
4300.0 3.5 0.627 4.6174 -7.944 3.9044
4300.0 4.0 3.4711 -4.2574 2.4918 -0.2729
4300.0 4.5 4.8869 -8.9699 8.3092 -2.7046
4300.0 5.0 5.803 -12.0652 12.1643 -4.3622
4300.0 5.5 6.0543 -13.1175 13.5638 -5.0151
4300.0 6.0 6.5431 -14.4619 15.0024 -5.5896
4400.0 2.5 -6.5645 24.8107 -29.8244 12.0983
4400.0 3.0 -2.6713 14.4131 -19.055 8.2227
4400.0 3.5 0.7038 4.4924 -7.8644 3.8822
4400.0 4.0 3.5842 -4.534 2.7755 -0.3824
4400.0 4.5 5.0479 -9.4988 8.9142 -2.9281
4400.0 5.0 5.8946 -12.5953 12.9104 -4.6683
4400.0 5.5 5.9241 -12.9905 13.57 -5.0332
4400.0 6.0 6.2537 -13.7788 14.3445 -5.3479
4500.0 2.5 -6.5896 25.0227 -30.1584 12.2464
4500.0 3.0 -2.6131 14.3784 -19.1085 8.2611
4500.0 3.5 0.7719 4.3876 -7.8026 3.8653
4500.0 4.0 3.7286 -4.897 3.1558 -0.5307
4500.0 4.5 5.1437 -9.6934 9.0631 -2.9687
4500.0 5.0 5.765 -12.4548 12.9104 -4.6942
4500.0 5.5 5.6457 -12.4491 13.1384 -4.8898
4500.0 6.0 6.1145 -13.5727 14.2358 -5.3186
4600.0 2.5 -6.6138 25.2368 -30.5009 12.4001
4600.0 3.0 -2.5993 14.4231 -19.2061 8.3034
4600.0 3.5 0.8356 4.301 -7.7668 3.8602
4600.0 4.0 3.8332 -5.1324 3.3834 -0.6172
4600.0 4.5 5.2509 -9.9487 9.3224 -3.0697
4600.0 5.0 5.9179 -12.9964 13.5664 -4.9504
4600.0 5.5 5.6134 -12.605 13.4721 -5.0423
4600.0 6.0 5.9123 -13.194 13.9434 -5.2193
4700.0 2.5 -6.6546 25.5137 -30.9296 12.5926
4700.0 3.0 -2.5812 14.4922 -19.3674 8.382
4700.0 3.5 0.875 4.2913 -7.8235 3.8931
4700.0 4.0 3.9191 -5.3029 3.5283 -0.6685
4700.0 4.5 5.3257 -10.0938 9.446 -3.1152
4700.0 5.0 6.0086 -13.192 13.728 -4.9977
4700.0 5.5 5.5507 -12.609 13.6064 -5.1163
4700.0 6.0 5.6432 -12.6376 13.4768 -5.0618
4800.0 2.5 -6.7286 25.8227 -31.3365 12.7596
4800.0 3.0 -2.625 14.7448 -19.7387 8.5432
4800.0 3.5 0.8866 4.371 -7.99 3.9719
4800.0 4.0 3.9125 -5.1617 3.2881 -0.5602
4800.0 4.5 5.3974 -10.2226 9.5448 -3.1489
4800.0 5.0 6.0802 -13.3049 13.7903 -5.0093
4800.0 5.5 5.7071 -13.1806 14.3199 -5.4035
4800.0 6.0 5.6656 -12.9331 13.966 -5.2786
4900.0 2.5 -6.9051 26.4223 -32.061 13.0463
4900.0 3.0 -2.7233 15.15 -20.2766 8.7679
4900.0 3.5 0.8597 4.57 -8.2978 4.1079
4900.0 4.0 3.883 -4.9208 2.9073 -0.3886
4900.0 4.5 5.46 -10.325 9.6148 -3.1717
4900.0 5.0 6.1568 -13.406 13.831 -5.0133
4900.0 5.5 5.8135 -13.4031 14.498 -5.4527
4900.0 6.0 5.5607 -12.7467 13.8468 -5.2479
5100.0 2.5 -8.0027 29.4476 -35.2345 14.1825
5100.0 3.0 -3.8535 18.6667 -24.3823 10.3869
5100.0 3.5 -0.0376 7.6047 -12.0343 5.6373
5100.0 4.0 3.5975 -3.6731 1.2086 0.3366
5100.0 4.5 5.5502 -10.2597 9.3116 -3.0057
5100.0 5.0 6.4066 -13.567 13.6304 -4.8482
5100.0 5.5 6.5774 -14.9116 15.7276 -5.8188
5100.0 6.0 6.0173 -14.1001 15.3731 -5.8369
5200.0 2.5 -8.0825 29.754 -35.6291 14.3445
5200.0 3.0 -3.9046 18.9093 -24.7225 10.5331
5200.0 3.5 -0.0392 7.7142 -12.2356 5.7329
5200.0 4.0 3.6709 -3.7946 1.2824 0.3194
5200.0 4.5 5.6342 -10.4122 9.4214 -3.0376
5200.0 5.0 6.5162 -13.8179 13.8703 -4.9365
5200.0 5.5 6.6823 -15.1626 15.979 -5.915
5200.0 6.0 6.0843 -14.2568 15.5274 -5.8964
5300.0 2.5 -8.2569 30.2953 -36.2413 14.5739
5300.0 3.0 -3.9632 19.1804 -25.1027 10.6976
5300.0 3.5 -0.0863 7.9361 -12.5246 5.8449
5300.0 4.0 3.7393 -3.907 1.3493 0.3046
5300.0 4.5 5.7071 -10.5254 9.4806 -3.0475
5300.0 5.0 6.6411 -14.1145 14.1614 -5.0443
5300.0 5.5 6.7539 -15.3326 16.1637 -5.9952
5300.0 6.0 6.1902 -14.5329 15.8228 -6.0147
5400.0 2.5 -8.3545 30.6229 -36.633 14.7273
5400.0 3.0 -4.0796 19.599 -25.6273 10.9109
5400.0 3.5 -0.0851 8.0248 -12.6919 5.9247
5400.0 4.0 3.8011 -3.9977 1.3879 0.3024
5400.0 4.5 5.7436 -10.5145 9.3855 -2.9928
5400.0 5.0 6.7935 -14.4916 14.5403 -5.1847
5400.0 5.5 6.9098 -15.6896 16.5176 -6.1335
5400.0 6.0 6.2888 -14.7802 16.0802 -6.1166
5500.0 2.5 -8.6449 31.4153 -37.4476 15.0107
5500.0 3.0 -4.6138 21.2102 -27.4587 11.6164
5500.0 3.5 -0.2272 8.5291 -13.3221 6.1817
5500.0 4.0 3.7306 -3.6787 0.9467 0.492
5500.0 4.5 5.7049 -10.2261 8.9316 -2.7851
5500.0 5.0 6.9029 -14.7446 14.7816 -5.2718
5500.0 5.5 7.0237 -15.9593 16.7833 -6.2334
5500.0 6.0 6.3901 -15.0356 16.3459 -6.2212
5600.0 2.5 -8.8913 32.0823 -38.1244 15.2419
5600.0 3.0 -4.7176 21.5214 -27.7933 11.7342
5600.0 3.5 -0.3515 8.9777 -13.888 6.4141
5600.0 4.0 3.6607 -3.3602 0.504 0.6833
5600.0 4.5 5.7017 -10.0866 8.6808 -2.6661
5600.0 5.0 7.0258 -15.0202 15.0649 -5.3905
5600.0 5.5 7.1726 -16.3357 17.1728 -6.3823
5600.0 6.0 6.4953 -15.3029 16.6237 -6.3298
5700.0 2.5 -9.0974 32.6283 -38.6601 15.4166
5700.0 3.0 -4.9115 22.1423 -28.5261 12.0231
5700.0 3.5 -0.5038 9.5127 -14.5567 6.6884
5700.0 4.0 3.5756 -2.9937 0.0034 0.8986
5700.0 4.5 5.7168 -10.0238 8.5335 -2.5918
5700.0 5.0 7.1405 -15.2939 15.3345 -5.4906
5700.0 5.5 7.2977 -16.6468 17.4903 -6.5032
5700.0 6.0 6.6037 -15.5826 16.9172 -6.4446
5800.0 2.5 -9.4227 33.3551 -39.2373 15.5558
5800.0 3.0 -5.0869 22.7023 -29.1821 12.2791
5800.0 3.5 -0.8829 10.6815 -15.9168 7.2259
5800.0 4.0 3.4796 -2.5978 -0.5295 1.1264
5800.0 4.5 5.7585 -10.0244 8.4745 -2.5665
5800.0 5.0 7.2503 -15.5545 15.5895 -5.5846
5800.0 5.5 7.4191 -16.9502 17.8001 -6.6208
5800.0 6.0 6.7132 -15.8684 17.2181 -6.5618
5900.0 2.5 -9.5656 33.7849 -39.7077 15.7259
5900.0 3.0 -5.2167 23.1362 -29.7038 12.4857
5900.0 3.5 -0.8833 10.799 -16.134 7.3286
5900.0 4.0 3.4053 -2.2734 -0.9746 1.318
5900.0 4.5 5.7482 -9.9193 8.3031 -2.4878
5900.0 5.0 7.3582 -15.8131 15.8439 -5.6784
5900.0 5.5 7.51 -17.1876 18.0504 -6.7169
5900.0 6.0 6.8279 -16.1743 17.5439 -6.6889
6000.0 2.5 -9.6106 34.0132 -40.0413 15.8741
6000.0 3.0 -5.3757 23.6545 -30.3207 12.7296
6000.0 3.5 -1.0068 11.2427 -16.6946 7.5597
6000.0 4.0 3.3542 -2.0264 -1.326 1.4716
6000.0 4.5 5.8379 -10.0725 8.3989 -2.5098
6000.0 5.0 7.4689 -16.0822 16.1108 -5.7768
6000.0 5.5 7.6664 -17.5784 18.4472 -6.8661
6000.0 6.0 6.9121 -16.4009 17.7865 -6.7835
6100.0 2.5 -9.9078 34.7349 -40.6804 16.0567
6100.0 3.0 -5.5798 24.2965 -31.0685 13.0214
6100.0 3.5 -1.1609 11.7573 -17.3206 7.8127
6100.0 4.0 3.2845 -1.7527 -1.6871 1.6248
6100.0 4.5 5.8874 -10.1367 8.4152 -2.5048
6100.0 5.0 7.5425 -16.2672 16.3 -5.848
6100.0 5.5 7.7743 -17.8474 18.7195 -6.9682
6100.0 6.0 6.992 -16.5547 17.9221 -6.8403
6200.0 2.5 -9.8699 34.7795 -40.8689 16.17
6200.0 3.0 -5.8286 25.0632 -31.9504 13.3627
6200.0 3.5 -1.2097 11.9964 -17.662 7.9615
6200.0 4.0 3.2685 -1.6172 -1.9067 1.7258
6200.0 4.5 5.9397 -10.2136 8.4476 -2.5059
6200.0 5.0 7.6431 -16.5093 16.5375 -5.9348
6200.0 5.5 7.8361 -17.9539 18.8059 -7.0044
6200.0 6.0 7.1105 -16.8368 18.1957 -6.9421
6300.0 2.5 -10.2421 35.6513 -41.6032 16.3636
6300.0 3.0 -6.0669 25.7964 -32.7918 13.6876
6300.0 3.5 -1.3325 12.4212 -18.1874 8.1751
6300.0 4.0 3.26 -1.4881 -2.1308 1.8312
6300.0 4.5 5.9681 -10.2408 8.4388 -2.4941
6300.0 5.0 7.7877 -16.8672 16.8943 -6.0652
6300.0 5.5 7.9474 -18.2067 19.041 -7.0884
6300.0 6.0 7.2063 -17.0751 18.4358 -7.033
6400.0 2.5 -10.1515 35.5879 -41.718 16.4648
6400.0 3.0 -6.2345 26.3334 -33.4215 13.9332
6400.0 3.5 -1.3717 12.6173 -18.4679 8.297
6400.0 4.0 3.2335 -1.329 -2.3718 1.9393
6400.0 4.5 6.0357 -10.3527 8.5004 -2.5034
6400.0 5.0 7.8624 -17.0364 17.0497 -6.119
6400.0 5.5 8.0721 -18.5114 19.3424 -7.1993
6400.0 6.0 7.302 -17.3157 18.6794 -7.125
6500.0 2.5 -10.2834 35.9726 -42.1261 16.6074
6500.0 3.0 -6.3576 26.7445 -33.9134 14.1266
6500.0 3.5 -1.6899 13.6276 -19.6611 8.7706
6500.0 4.0 3.2107 -1.1879 -2.5856 2.0347
6500.0 4.5 6.0588 -10.3647 8.4718 -2.4825
6500.0 5.0 7.9437 -17.2292 17.234 -6.1843
6500.0 5.5 8.1509 -18.7101 19.5443 -7.2748
6500.0 6.0 7.4225 -17.6388 19.0195 -7.2542
6600.0 2.5 -10.365 36.2923 -42.5402 16.7774
6600.0 3.0 -6.4792 27.1515 -34.4004 14.3179
6600.0 3.5 -1.8084 14.0442 -20.1801 8.9822
6600.0 4.0 3.2127 -1.1223 -2.7104 2.0936
6600.0 4.5 6.1127 -10.4584 8.5335 -2.4982
6600.0 5.0 8.0169 -17.3984 17.3908 -6.2382
6600.0 5.5 8.2587 -18.9772 19.8107 -7.3727
6600.0 6.0 7.5139 -17.8733 19.2594 -7.3447
6700.0 2.5 -10.3996 36.5026 -42.8607 16.9216
6700.0 3.0 -6.5811 27.5026 -34.8262 14.4861
6700.0 3.5 -2.3336 15.6748 -22.0801 9.7309
6700.0 4.0 3.1955 -1.0024 -2.8961 2.1768
6700.0 4.5 6.153 -10.5233 8.5687 -2.5041
6700.0 5.0 8.0828 -17.5441 17.5207 -6.2818
6700.0 5.5 8.3414 -19.184 20.0179 -7.449
6700.0 6.0 7.5988 -18.0917 19.4831 -7.429
6800.0 2.5 -10.6755 37.2294 -43.5661 17.1469
6800.0 3.0 -6.6372 27.7397 -35.1413 14.6167
6800.0 3.5 -2.5215 16.3059 -22.8469 10.0392
6800.0 4.0 3.0916 -0.609 -3.4054 2.3896
6800.0 4.5 6.1865 -10.5671 8.5774 -2.4983
6800.0 5.0 8.1088 -17.5373 17.4529 -6.2411
6800.0 5.5 8.4194 -19.38 20.2156 -7.5222
6800.0 6.0 7.6792 -18.2994 19.6959 -7.5089
6900.0 2.5 -10.6846 37.402 -43.8837 17.3036
6900.0 3.0 -6.7095 28.0204 -35.5022 14.7638
6900.0 3.5 -2.4243 16.0707 -22.6169 9.9571
6900.0 4.0 2.8692 0.1599 -4.361 2.7822
6900.0 4.5 6.1281 -10.3053 8.212 -2.3385
6900.0 5.0 8.0529 -17.183 16.9145 -5.9954
6900.0 5.5 8.4901 -19.5582 20.3955 -7.5886
6900.0 6.0 7.7583 -18.5057 19.9089 -7.5891
7000.0 2.5 -10.6397 37.4301 -44.056 17.4113
7000.0 3.0 -6.7639 28.2603 -35.8286 14.9015
7000.0 3.5 -2.5181 16.4228 -23.0675 10.1426
7000.0 4.0 2.6092 1.0487 -5.46 3.2331
7000.0 4.5 6.0657 -10.0259 7.8232 -2.169
7000.0 5.0 7.9548 -16.6548 16.1411 -5.6469
7000.0 5.5 8.5582 -19.7262 20.5622 -7.6496
7000.0 6.0 7.8318 -18.6973 20.1069 -7.6637
7200.0 2.5 -10.8796 38.2522 -45.0517 17.8041
7200.0 3.0 -6.9637 28.9988 -36.7632 15.282
7200.0 3.5 -2.6494 16.9711 -23.8022 10.4519
7200.0 4.0 2.0863 2.8609 -7.7143 4.1596
7200.0 4.5 5.5999 -8.3083 5.6109 -1.2352
7200.0 5.0 7.8481 -15.9668 15.0878 -5.164
7200.0 5.5 8.6846 -20.0347 20.8633 -7.7576
7200.0 6.0 7.9691 -19.0532 20.4722 -7.8002
7400.0 2.5 -11.0165 38.8138 -45.8019 18.1202
7400.0 3.0 -7.0824 29.4967 -37.4282 15.5599
7400.0 3.5 -2.7881 17.5381 -24.5513 10.7638
