Teff log(g) filter a1 a2 a3 a4
2300 3.5 R 4.046184156392871 -7.862026116515398 8.26943949294868 -2.907426244973486
2300 4.0 R 2.854723372122287 -5.419610906756396 6.047399411867396 -2.160877640180004
2300 4.5 R 2.3484344066260787 -4.215514841226285 4.830234967123973 -1.7389496721604283
2300 5.0 R 1.6573681907037145 -2.6359205723407624 3.2950841196935508 -1.2098082449836263
2300 5.5 R 1.8835611958305896 -2.871460886680005 3.2335401570771425 -1.1391002669921027
2300 6.0 R 1.550930120114775 -2.1151512292856176 2.5075638459309597 -0.8967075357284974
2400 3.5 R 2.435800994718392 -3.819209263458396 4.2823893348157975 -1.5391209931726015
2400 4.0 R 1.903709682559549 -3.0796501216048213 3.8163397207903675 -1.4157997508675768
2400 4.5 R 1.5347674076674034 -2.3413271626189096 3.126606539231929 -1.1774773160568908
2400 5.0 R 1.2100626202018543 -1.5578772590653358 2.3349090096561422 -0.9073336697624416
2400 5.5 R 0.9754934050272188 -0.8782586604585803 1.547887597409164 -0.6143127935688896
2400 6.0 R 1.1106394391802277 -1.131018986840485 1.6730782007297698 -0.6333402784334757
2500 3.5 R 2.6483828621931886 -3.8072376919585427 3.9900016645899754 -1.409673190030924
2500 4.0 R 1.416489083858252 -1.503356455916151 2.0757466050123243 -0.7948319941659374
2500 4.5 R 1.0656622424060778 -0.9798264907314234 1.7015121437938618 -0.6741564034856656
2500 5.0 R 0.8403838783552302 -0.6596071049142921 1.4558580654725408 -0.586540804877425
2500 5.5 R 0.6329130794434357 -0.05186660317921432 0.7703917913329625 -0.3440949644379112
2500 6.0 R 0.8358517866498668 -0.45754114304597243 1.0633289859793005 -0.42910963080442177
2600 3.5 R 3.9936278353581867 -6.365810337391211 6.092182506231891 -2.080480609732843
2600 4.0 R 1.718601123507203 -1.7246412219570968 1.991415937736984 -0.7275220319732759
2600 4.5 R 0.7587446520967494 0.06208380464436884 0.5318822479915292 -0.25807797585364434
2600 5.0 R 0.5148345438526528 0.34797647015446725 0.3812427583768369 -0.2079363216551044
2600 5.5 R 0.6271448757913826 -0.055628827348476594 0.7788435601635806 -0.32667020449806394
2600 6.0 R 0.6170475391647285 -0.04921382742329117 0.6922262156559476 -0.2625669501690518
2700 3.5 R 6.130986400510322 -10.937466969384573 10.22309401763762 -3.463470879797925
2700 4.0 R 2.7897227933742657 -3.8489660958648906 3.775944651093736 -1.3051189839891526
2700 4.5 R 1.3837035608962145 -0.9757478532755507 1.2446852376466178 -0.46312848257066624
2700 5.0 R 0.6026350239065303 0.45506866478615643 0.09007731739247928 -0.08499105773149197
2700 5.5 R 0.4461827042887906 0.5710689878606915 0.08289965844245516 -0.07618606578537553
2700 6.0 R 0.47932559478122366 0.3606791677639797 0.29606589375501535 -0.12898728422023256
2800 3.5 R 8.14889484536172 -15.344351508236306 14.272373514233154 -4.826964408717766
2800 4.0 R 4.2617214095226 -7.0263437498957 6.646617863589384 -2.2685379178369387
2800 4.5 R 2.386996769706752 -3.0581483573499377 3.0500305261749534 -1.058930158128376
