Teff log(g) filter a1 a2 a3 a4
2300 3.5 B 0.7439780982448893 -0.8119519213550425 1.9325707254208642 -0.7332402682677049
2300 4.0 B 0.27818720227697946 -0.036188296681983353 1.2630400084083253 -0.4829697740017126
2300 4.5 B 0.25534240361196436 -0.0007804968342708385 1.1669679047635186 -0.4237739913360894
2300 5.0 B 0.2470201633768715 -0.002056664577394951 1.1267099068224682 -0.3877823136755454
2300 5.5 B 0.6800856946299413 -0.6478465417347337 1.4619978284937865 -0.465894381199231
2300 6.0 B 0.736316867747166 -0.647547729487214 1.3643179252084787 -0.4209495439868263
2400 3.5 B 0.8074141156600139 -0.40499490619894307 1.2509792203345793 -0.4739947252333436
2400 4.0 B 0.06576663565377168 0.7230769505445422 0.47286340949637484 -0.23540271517695335
2400 4.5 B 0.0997839593982862 0.37418100157696776 0.8452557879286623 -0.32214102789356897
2400 5.0 B 0.09521661549048062 0.3295095558565299 0.9062691866838484 -0.3524678815285386
2400 5.5 B 0.22219599827138656 0.11945833249517275 0.9889685657308157 -0.3429847656095667
2400 6.0 B 0.45581543605481545 -0.2299258317304418 1.1364203137164919 -0.35548372804478584
2500 3.5 B 1.7669017060783132 -2.1943555502177134 2.7284118307384015 -0.9685966280185856
2500 4.0 B 0.5865287499805232 0.007827958851772121 0.8936111881524283 -0.36333893359382996
2500 4.5 B 0.1413515799128763 0.625681027761295 0.4728744265883996 -0.2051119034376919
2500 5.0 B -0.001092853608155142 0.4869759281414423 0.7981852364364606 -0.30420033442234673
2500 5.5 B 0.18217461501115187 0.09453008985623788 1.0303944767083428 -0.32140472803519454
2500 6.0 B 0.3916519456242497 -0.27564837241407697 1.3527797438778244 -0.4633694954114947
2600 3.5 B 2.636624884198425 -3.7808730643961375 3.991657641971165 -1.3764174197330317
2600 4.0 B 1.0879887942190545 -0.7848671433716197 1.449847957066831 -0.5509132563790681
2600 4.5 B 0.3681855414381731 0.36460182720439754 0.6300484269345933 -0.28787879358280444
2600 5.0 B 0.04885790152876617 0.702840863905909 0.45562749995823876 -0.19722906349806033
2600 5.5 B 0.1270434166258155 0.17754264618306131 1.0363103031302865 -0.3452157606241391
2600 6.0 B 0.46137432768734216 -0.6208856794705904 1.5996209374398938 -0.42438429884340884
2700 3.5 B 3.828201659849328 -6.180257331688429 6.067072751620681 -2.0607557688697002
2700 4.0 B 1.6803408424305348 -1.8126114782364797 2.2215084502429043 -0.8008661801073952
2700 4.5 B 0.6789128642654558 0.02500202284551456 0.7423958517760583 -0.3243887026423118
2700 5.0 B 0.19270022429634998 0.6414162419859333 0.42962361448634295 -0.22610446152361235
2700 5.5 B 0.16397232987304106 0.31162916129180557 0.8730982205316691 -0.33237312246263523
2700 6.0 B 0.26184296473497903 -0.16061966479658388 1.3067629538353844 -0.399728176338808
2800 3.5 B 5.016281751575051 -8.642772321750755 8.247732927452308 -2.782382775926485
2800 4.0 B 2.540097840754897 -3.483963836903965 3.614241167798275 -1.2559773812102648
2800 4.5 B 1.2322421737871734 -0.8886459575056176 1.3870127268760293 -0.5300555910685558
2800 5.0 B 0.45177350363088814 0.43596257703628116 0.40498143572055273 -0.21872069304815814
2800 5.5 B 0.21066142655422854 0.5298353990900899 0.5464812428925104 -0.2600675279528416
2900 3.5 B 5.581319166679976 -9.856052365921384 9.342155255827771 -3.145787643631977
2900 4.0 B 3.1150630457851984 -4.658624529854262 4.623724632236528 -1.591122074976134
2900 4.5 B 1.716587992512577 -1.759108784296104 2.043149285217024 -0.7403161488713312
2900 5.0 B 0.8267066140572434 -0.08649398250865464 0.6835590468410587 -0.30404296639083667
2900 5.5 B 0.36845596935407143 0.4995575877190656 0.4121676627898472 -0.23273257240584824
2900 6.0 B 0.2885680453393492 0.14146130347069819 1.0432684027596 -0.4503653231252831
3000 3.5 B 5.3395413892435295 -9.431524495043263 8.99737195466568 -3.0350772225983014
3000 4.0 B 3.4218595402770413 -5.324555167541713 5.216902558746424 -1.7921960519074664
3000 4.5 B 2.1876787592724063 -2.674777214810903 2.7881085261441623 -0.9836365605732792
3000 5.5 B 0.6100597847635774 0.28622682060398863 0.3998811937078387 -0.22469825782826333
3000 6.0 B 0.2949992260483029 0.5192181827494738 0.4899554469400691 -0.2834034788157105
3100 3.5 B 5.29884791592735 -9.411117252342617 9.01640050291513 -3.0374008302802378
3100 4.0 B 3.715792100579222 -5.981566006985357 5.828457800779962 -2.0003422210068105
3100 4.5 B 2.5704884164340918 -3.4672133297150043 3.4686865234504642 -1.2107939944908606
3100 5.0 B 1.5912635943851006 -1.410080406865503 1.6192996544659213 -0.5989974402135523
3100 5.5 B 0.8766892526766195 -0.04764491592473896 0.5179866840284841 -0.25189063621004903
3100 6.0 B 0.4319347227370052 0.5703451719403395 0.21549036055009207 -0.186661554014201
3200 3.5 B 5.338937083817762 -9.57455041677167 9.212162096895721 -3.0943192807338797
3200 4.0 B 4.073581096624535 -6.810216443161607 6.633319994544037 -2.278033704630788
3200 4.5 B 3.0329223644714203 -4.48166244658753 4.401209150508914 -1.5302410488765021
3200 5.0 B 1.9771563167250819 -2.178523383767653 2.2493301964862344 -0.8053839222694353
3200 5.5 B 1.2065613439166865 -0.5956596158549033 0.8678994358496636 -0.3546659876402398
3200 6.0 B 0.6482070542228509 0.39625491492488213 0.1447105578002073 -0.14317292423290426
3300 3.5 B 5.426932737652519 -9.92490298702073 9.610819879824072 -3.2176649166352695
3300 4.0 B 4.318144567109064 -7.443787455755344 7.28929147224561 -2.509945999318158
