Teff	log(g)	T_BB_g	T_BB_r	T_BB_i
6750.0	9.25	7001.07825	6876.19951	6870.30629
6750.0	9.50	7010.52138	6888.40482	6886.37558
7000.0	6.50	7218.70202	7046.82833	6996.80439
7000.0	6.75	7212.50751	7044.51793	6998.90412
7000.0	7.00	7208.93790	7043.92832	7001.25062
7000.0	7.25	7207.27465	7049.19218	7010.17319
7000.0	7.50	7207.88375	7051.89014	7016.27609
7000.0	7.75	7211.14107	7056.25847	7026.60953
7000.0	8.00	7216.73395	7059.30582	7033.63018
7000.0	8.25	7222.44983	7069.79442	7046.93505
7000.0	8.50	7228.61024	7080.73296	7059.80326
7000.0	8.75	7236.23384	7090.60801	7075.30779
7000.0	9.00	7245.45926	7100.83706	7089.70264
7000.0	9.25	7254.89552	7113.13420	7107.62895
7000.0	9.50	7265.12347	7127.80773	7126.48402
7250.0	6.50	7477.23394	7292.53438	7237.66233
7250.0	6.75	7468.01353	7288.75880	7239.85493
7250.0	7.00	7461.13475	7287.02465	7242.36218
7250.0	7.25	7456.61163	7288.27472	7246.32914
7250.0	7.50	7454.83044	7289.20485	7252.41173
7250.0	7.75	7455.11845	7292.23273	7259.95950
7250.0	8.00	7458.03147	7296.72969	7267.39716
7250.0	8.25	7463.02681	7299.85752	7276.56837
7250.0	8.50	7470.28353	7311.71594	7290.41891
7250.0	8.75	7478.87983	7321.51874	7304.26283
7250.0	9.00	7488.46766	7333.60952	7321.60419
7250.0	9.25	7500.16832	7346.95943	7340.54607
7250.0	9.50	7513.55894	7360.34989	7359.33124
7500.0	6.50	7742.76910	7549.70213	7488.86402
7500.0	6.75	7728.47310	7543.47421	7487.75888
7500.0	7.00	7717.51410	7535.86562	7488.15004
7500.0	7.25	7709.74544	7528.86781	7486.81032
7500.0	7.50	7704.88549	7531.77538	7493.43222
7500.0	7.75	7702.68692	7533.05474	7496.83703
7500.0	8.00	7703.27783	7535.04444	7505.08886
7500.0	8.25	7706.48934	7539.32076	7512.32108
7500.0	8.50	7711.85299	7545.44149	7523.85051
7500.0	8.75	7719.87796	7556.75255	7538.60608
7500.0	9.00	7730.96227	7565.48102	7553.44141
7500.0	9.25	7743.10282	7577.39791	7570.93591
7500.0	9.50	7756.59060	7592.26808	7592.46868
7750.0	6.50	8012.41474	7805.70027	7740.07625
7750.0	6.75	7992.75160	7795.97253	7736.59218
7750.0	7.00	7976.83979	7783.42413	7731.65153
7750.0	7.25	7964.77221	7780.46052	7733.57997
7750.0	7.50	7955.72450	7777.25295	7735.29820
7750.0	7.75	7949.73453	7775.10712	7736.27409
7750.0	8.00	7947.05552	7773.32169	7740.04707
7750.0	8.25	7947.62673	7777.77747	7748.56581
7750.0	8.50	7951.03003	7781.24496	7757.07415
7750.0	8.75	7956.86293	7788.53839	7769.22853
7750.0	9.00	7965.84464	7794.97891	7783.14268
7750.0	9.25	7978.16879	7806.07993	7800.85424
7750.0	9.50	7993.72346	7819.17101	7819.85474
8000.0	6.50	8291.09862	8071.78126	7995.05031
8000.0	6.75	8264.63790	8058.01628	7989.23321
8000.0	7.00	8242.79273	8046.24323	7985.22020
8000.0	7.25	8225.46571	8035.19690	7985.04398
8000.0	7.50	8211.70776	8029.55205	7983.90775
8000.0	7.75	8201.44136	8024.18600	7983.90134
8000.0	8.00	8194.91392	8017.70176	7983.27001
8000.0	8.25	8191.99549	8018.73931	7988.24263
8000.0	8.50	8192.59102	8021.06039	7994.54937
8000.0	8.75	8196.32867	8024.76254	8003.60921
8000.0	9.00	8203.24538	8028.36801	8015.79972
8000.0	9.25	8213.92009	8037.77070	8032.44786
8000.0	9.50	8228.09471	8050.15028	8053.12026
8250.0	6.50	8574.67488	8342.14885	8252.44188
8250.0	6.75	8541.35997	8325.60517	8247.33770
8250.0	7.00	8513.15929	8309.47136	8241.13630
8250.0	7.25	8489.91930	8295.87677	8237.29024
8250.0	7.50	8470.59379	8284.00677	8234.16407
8250.0	7.75	8455.10758	8274.74388	8231.81462
8250.0	8.00	8444.03710	8268.58284	8230.60243
8250.0	8.25	8436.65067	8263.19252	8230.64380
8250.0	8.50	8433.14013	8258.88347	8233.36623
8250.0	8.75	8433.52401	8257.99442	8238.64743
8250.0	9.00	8437.58655	8260.71024	8247.60250
8250.0	9.25	8445.54617	8266.84926	8261.00596
8250.0	9.50	8457.75482	8275.82767	8278.49491
8500.0	6.50	8867.35518	8622.94802	8516.57882
8500.0	6.75	8826.38923	8598.14254	8506.39430
8500.0	7.00	8791.26049	8578.81113	8499.01892
8500.0	7.25	8761.23363	8559.69375	8492.51234
8500.0	7.50	8735.65623	8544.13422	8487.41697
8500.0	7.75	8714.41215	8532.50131	8483.88754
8500.0	8.00	8697.95306	8520.19880	8479.62811
8500.0	8.25	8685.91154	8511.32180	8478.27100
8500.0	8.50	8678.07179	8503.03804	8477.03400
8500.0	8.75	8674.39322	8499.19907	8480.04912
8500.0	9.00	8674.97787	8498.29144	8486.02803
8500.0	9.25	8680.12830	8500.61948	8496.17707
8500.0	9.50	8689.90280	8508.45063	8511.85942
8750.0	6.50	9163.92273	8903.07259	8779.36986
8750.0	6.75	9115.98591	8874.33435	8767.22894
8750.0	7.00	9073.75513	8849.26264	8757.98372
8750.0	7.25	9036.91393	8828.96612	8751.25459
8750.0	7.50	9004.71860	8808.72085	8744.17060
8750.0	7.75	8977.13752	8793.57939	8739.05167
8750.0	8.00	8954.76807	8775.76382	8732.50672
8750.0	8.25	8937.55840	8763.32388	8728.41231
8750.0	8.50	8924.61359	8751.99736	8725.33630
8750.0	8.75	8916.15334	8743.75315	8725.06398
8750.0	9.00	8912.55262	8738.50969	8727.18235
8750.0	9.25	8913.50684	8737.51049	8735.04167
8750.0	9.50	8919.57648	8737.03266	8742.91962
9000.0	6.50	9464.78000	9182.05511	9036.12427
9000.0	6.75	9411.22111	9152.28053	9026.99895
9000.0	7.00	9362.65534	9124.42003	9018.25702
9000.0	7.25	9318.48492	9098.61276	9009.96636
9000.0	7.50	9279.18754	9076.60190	9002.69554
9000.0	7.75	9245.18871	9056.63007	8995.92616
