Teff	log(g)	T_BB_tess
8500.0	7.25	8287.60852
8500.0	7.50	8279.49878
8500.0	7.75	8272.34722
8500.0	8.00	8267.28570
8500.0	8.25	8263.00632
8500.0	8.50	8261.69082
8500.0	8.75	8261.47568
8500.0	9.00	8264.75375
8500.0	9.25	8271.09028
8500.0	9.50	8282.53803
8750.0	6.50	8581.67090
8750.0	6.75	8564.94445
8750.0	7.00	8550.18049
8750.0	7.25	8538.85451
8750.0	7.50	8529.76631
8750.0	7.75	8521.10829
8750.0	8.00	8512.65678
8750.0	8.25	8506.90730
8750.0	8.50	8501.53343
8750.0	8.75	8499.24591
8750.0	9.00	8497.81541
8750.0	9.25	8500.28032
8750.0	9.50	8508.00817
9000.0	6.50	8841.24607
9000.0	6.75	8823.28276
9000.0	7.00	8809.06400
9000.0	7.25	8794.86179
9000.0	7.50	8784.84488
9000.0	7.75	8773.53001
9000.0	8.00	8764.43917
9000.0	8.25	8755.11806
9000.0	8.50	8747.74082
9000.0	8.75	8741.14577
9000.0	9.00	8737.52253
9000.0	9.25	8735.16371
9000.0	9.50	8738.86438
9250.0	6.50	9092.59526
9250.0	6.75	9080.40018
9250.0	7.00	9065.20548
9250.0	7.25	9050.61685
9250.0	7.50	9039.27404
9250.0	7.75	9026.55691
9250.0	8.00	9016.94380
9250.0	8.25	9004.46087
9250.0	8.50	8995.16566
9250.0	8.75	8985.79463
9250.0	9.00	8978.14508
9250.0	9.25	8974.07531
9250.0	9.50	8972.14554
9500.0	6.50	9332.87139
9500.0	6.75	9325.17320
9500.0	7.00	9316.51180
9500.0	7.25	9303.60759
9500.0	7.50	9292.51702
9500.0	7.75	9280.75821
9500.0	8.00	9268.64796
9500.0	8.25	9257.49475
9500.0	8.50	9245.56388
9500.0	8.75	9235.15537
9500.0	9.00	9224.12516
9500.0	9.25	9217.16907
9500.0	9.50	9211.38606
9750.0	6.50	9559.08357
9750.0	6.75	9560.54851
9750.0	7.00	9557.09920
9750.0	7.25	9550.89901
9750.0	7.50	9543.00506
9750.0	7.75	9532.47180
9750.0	8.00	9520.11204
9750.0	8.25	9508.54702
9750.0	8.50	9496.24791
9750.0	8.75	9485.43327
9750.0	9.00	9472.58158
9750.0	9.25	9461.71808
9750.0	9.50	9452.43261
10000.0	6.50	9764.40249
10000.0	6.75	9777.93632
10000.0	7.00	9783.34130
10000.0	7.25	9785.24993
10000.0	7.50	9782.03910
10000.0	7.75	9776.30473
10000.0	8.00	9767.81973
10000.0	8.25	9758.29012
10000.0	8.50	9747.44086
10000.0	8.75	9735.30819
10000.0	9.00	9723.05945
10000.0	9.25	9709.44372
10000.0	9.50	9697.75541
10250.0	6.50	9943.98231
10250.0	6.75	9979.64146
10250.0	7.00	9997.65292
10250.0	7.25	10009.20318
10250.0	7.50	10012.42251
10250.0	7.75	10013.73503
10250.0	8.00	10009.94177
10250.0	8.25	10003.40492
10250.0	8.50	9995.43898
10250.0	8.75	9983.58905
10250.0	9.00	9970.43316
10250.0	9.25	9958.07245
10250.0	9.50	9944.97120
10500.0	6.50	10085.58073
10500.0	6.75	10151.51175
10500.0	7.00	10193.24487
10500.0	7.25	10216.06987
10500.0	7.50	10229.65447
10500.0	7.75	10237.86650
10500.0	8.00	10242.60207
10500.0	8.25	10241.11728
10500.0	8.50	10237.11668
10500.0	8.75	10230.80493
10500.0	9.00	10219.66668
10500.0	9.25	10206.96697
10500.0	9.50	10191.81971
10750.0	6.50	10222.85392
10750.0	6.75	10294.13663
10750.0	7.00	10367.47594
10750.0	7.25	10411.38163
10750.0	7.50	10435.85647
10750.0	7.75	10454.15915
10750.0	8.00	10465.23897
10750.0	8.25	10471.82724
10750.0	8.50	10473.38805
10750.0	8.75	10470.91638
10750.0	9.00	10465.34036
10750.0	9.25	10454.89338
10750.0	9.50	10439.62856
11000.0	6.50	10369.60364
11000.0	6.75	10427.70484
11000.0	7.00	10505.74845
11000.0	7.25	10580.97851
11000.0	7.50	10627.61422
11000.0	7.75	10655.08587
11000.0	8.00	10676.39028
11000.0	8.25	10690.01815
11000.0	8.50	10698.65515
11000.0	8.75	10703.79024
11000.0	9.00	10702.22167
11000.0	9.25	10695.65120
11000.0	9.50	10684.76539
11250.0	6.50	10529.13160
11250.0	6.75	10567.63695
11250.0	7.00	10634.53995
11250.0	7.25	10722.78396
11250.0	7.50	10800.42090
11250.0	7.75	10848.20498
11250.0	8.00	10878.16618
11250.0	8.25	10900.19831
11250.0	8.50	10916.74285
11250.0	8.75	10928.16750
11250.0	9.00	10932.44956
11250.0	9.25	10932.20177
11250.0	9.50	10927.47601
11500.0	6.50	10695.25325
11500.0	6.75	10722.78381
11500.0	7.00	10772.04950
11500.0	7.25	10850.35542
11500.0	7.50	10943.10748
11500.0	7.75	11020.90233
11500.0	8.00	11067.90149
11500.0	8.25	11100.09788
11500.0	8.50	11124.46325
11500.0	8.75	11143.13078
11500.0	9.00	11154.16298
11500.0	9.25	11160.06654
11500.0	9.50	11160.44016
11750.0	6.50	10861.11491
11750.0	6.75	10886.33800
11750.0	7.00	10920.24525
11750.0	7.25	10979.89584
11750.0	7.50	11069.28803
11750.0	7.75	11169.25581
11750.0	8.00	11243.34318
11750.0	8.25	11292.30087
11750.0	8.50	11326.29617
11750.0	8.75	11351.29143
11750.0	9.00	11370.46913
11750.0	9.25	11382.86364
11750.0	9.50	11388.91062
12000.0	6.50	11023.90319
12000.0	6.75	11050.41198
12000.0	7.00	11078.55272
12000.0	7.25	11121.88441
12000.0	7.50	11195.87983
12000.0	7.75	11298.62927
12000.0	8.00	11399.43784
12000.0	8.25	11470.34263
12000.0	8.50	11516.36254
12000.0	8.75	11552.89937
12000.0	9.00	11578.07086
12000.0	9.25	11595.89307
12000.0	9.50	11609.46974
12250.0	6.50	11184.06980
12250.0	6.75	11211.73584
12250.0	7.00	11239.09519
12250.0	7.25	11273.93276
12250.0	7.50	11331.54596
12250.0	7.75	11421.11656
12250.0	8.00	11531.51011
12250.0	8.25	11634.02187
12250.0	8.50	11701.24042
12250.0	8.75	11746.79471
12250.0	9.00	11778.78080
12250.0	9.25	11804.64243
12250.0	9.50	11822.97093
12500.0	6.50	11344.96349
12500.0	6.75	11372.58303
12500.0	7.00	11400.14201
12500.0	7.25	11432.40336
12500.0	7.50	11476.83299
12500.0	7.75	11549.70695
12500.0	8.00	11654.76825
12500.0	8.25	11773.85077
12500.0	8.50	11869.89389
12500.0	8.75	11929.37241
12500.0	9.00	11971.83530
12500.0	9.25	12004.46844
12500.0	9.50	12030.05814
12750.0	6.50	11499.79199
12750.0	6.75	11529.29417
12750.0	7.00	11559.91055
12750.0	7.25	11591.29983
12750.0	7.50	11629.41342
12750.0	7.75	11688.17133
12750.0	8.00	11778.45393
12750.0	8.25	11898.95546
12750.0	8.50	12021.66823
12750.0	8.75	12104.29885
12750.0	9.00	12160.34886
12750.0	9.25	12201.36824
12750.0	9.50	12233.04506
13000.0	6.50	11655.06861
13000.0	6.75	11684.97912
13000.0	7.00	11715.96707
13000.0	7.25	11750.66278
13000.0	7.50	11786.88747
13000.0	7.75	11835.28185
13000.0	8.00	11911.17440
13000.0	8.25	12021.69412
13000.0	8.50	12153.08163
13000.0	8.75	12264.46614
13000.0	9.00	12336.93117
13000.0	9.25	12387.68276
13000.0	9.50	12429.98552
13250.0	6.50	11809.38818
13250.0	6.75	11839.90768
13250.0	7.00	11873.01600
13250.0	7.25	11907.04154
13250.0	7.50	11945.47883
13250.0	7.75	11987.41316
13250.0	8.00	12051.71697
13250.0	8.25	12147.34645
13250.0	8.50	12273.71803
13250.0	8.75	12409.57798
13250.0	9.00	12506.24481
13250.0	9.25	12571.78719
13250.0	9.50	12620.15822
13500.0	6.50	11962.73912
13500.0	6.75	11994.13160
13500.0	7.00	12028.30562
13500.0	7.25	12063.45134
13500.0	7.50	12103.09970
13500.0	7.75	12143.18987
13500.0	8.00	12197.23956
13500.0	8.25	12278.98052
13500.0	8.50	12396.40455
13500.0	8.75	12537.02329
13500.0	9.00	12662.51677
13500.0	9.25	12746.96934
13500.0	9.50	12807.37670
13750.0	6.50	12119.77134
13750.0	6.75	12148.31027
13750.0	7.00	12184.21524
13750.0	7.25	12220.54329
13750.0	7.50	12259.36279
13750.0	7.75	12299.65247
13750.0	8.00	12347.36490
13750.0	8.25	12418.81249
13750.0	8.50	12522.44117
13750.0	8.75	12657.70424
13750.0	9.00	12803.76275
13750.0	9.25	12914.32720
13750.0	9.50	12989.42972
14000.0	6.50	12269.36708
14000.0	6.75	12302.57364
14000.0	7.00	12338.17244
14000.0	7.25	12373.76745
14000.0	7.50	12413.29854
14000.0	7.75	12456.31527
14000.0	8.00	12503.18195
14000.0	8.25	12564.36232
14000.0	8.50	12655.27119
14000.0	8.75	12782.28657
14000.0	9.00	12931.06131
14000.0	9.25	13069.27928
14000.0	9.50	13161.28556
14250.0	6.50	12422.12961
14250.0	6.75	12454.97674
14250.0	7.00	12490.17868
14250.0	7.25	12529.28538
14250.0	7.50	12568.29277
14250.0	7.75	12611.61413
14250.0	8.00	12656.45295
14250.0	8.25	12714.94793
14250.0	8.50	12793.61049
14250.0	8.75	12907.13035
14250.0	9.00	13053.28703
14250.0	9.25	13209.49183
14250.0	9.50	13327.61285
14500.0	6.50	12574.59103
14500.0	6.75	12607.84715
14500.0	7.00	12643.70675
14500.0	7.25	12681.10240
14500.0	7.50	12724.10163
14500.0	7.75	12766.26581
14500.0	8.00	12813.99645
14500.0	8.25	12865.75448
14500.0	8.50	12937.06675
14500.0	8.75	13038.27690
14500.0	9.00	13176.36510
14500.0	9.25	13336.95446
14500.0	9.50	13484.18386
14750.0	6.50	12729.10886
14750.0	6.75	12759.91839
14750.0	7.00	12796.41389
14750.0	7.25	12834.70142
14750.0	7.50	12876.29535
14750.0	7.75	12920.80414
14750.0	8.00	12967.44606
14750.0	8.25	13019.35574
14750.0	8.50	13084.48488
14750.0	8.75	13176.04618
14750.0	9.00	13301.02622
14750.0	9.25	13459.48182
14750.0	9.50	13624.58267
15000.0	6.50	12880.56250
15000.0	6.75	12910.95108
15000.0	7.00	12951.03737
15000.0	7.25	12989.28079
15000.0	7.50	13029.73424
15000.0	7.75	13074.81715
15000.0	8.00	13123.67836
15000.0	8.25	13173.78430
15000.0	8.50	13235.49555
15000.0	8.75	13317.92064
15000.0	9.00	13431.59384
15000.0	9.25	13581.30100
15000.0	9.50	13753.76208
15250.0	6.50	13030.22833
15250.0	6.75	13063.89533
15250.0	7.00	13101.73423
15250.0	7.25	13141.70170
15250.0	7.50	13185.35692
15250.0	7.75	13231.55991
15250.0	8.00	13279.75298
